start_role,start_seed,replay_role,replay_seed,stage1_score,one_epoch_score,training_job_id,endpoint_job_id,training_log,endpoint_log,conclusion
catastrophic_outlier,1972442430,catastrophic_outlier,1972442430,20,10,21253011_0,21253018_0,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/train_21253011_0.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/endpoint_21253018_0.txt,phase_a_diagonal_collapse
stable_control,2082152039,stable_control,2082152039,20,20,21253011_1,21253018_1,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/train_21253011_1.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/endpoint_21253018_1.txt,phase_a_diagonal_preserved
catastrophic_outlier,1972442430,stable_control,2082152039,20,3,21281127_0,21281128_0,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_b_crossover/train_21281127_0.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_b_crossover/endpoint_21281128_0.txt,bad_checkpoint_not_rescued_by_stable_replay
stable_control,2082152039,catastrophic_outlier,1972442430,20,20,21281127_1,21281128_1,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_b_crossover/train_21281127_1.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_b_crossover/endpoint_21281128_1.txt,bad_replay_not_sufficient_to_damage_stable_checkpoint
