arm_index,domain,seed,semantics,total,source_training_job_id,source_policy_job_id,starting_policy_score,source_checkpoint,source_checkpoint_epoch,source_checkpoint_sha256,training_module,evaluation_module,teacher,code_commit
0,drone,534933607,legacy_dropout_current,20,20401213,20450836,11,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913938/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_69_0.500",69,c9434b115516e234fff8a4a5f9c2200d6959615749c8706f597464e72b43bee3,experiments_numeric.architecture_2.drone_mcts,experiments_numeric.architecture_2.drone,hadd-astar,c72c9080
1,drone,534933607,deterministic_current,20,20401213,20450836,11,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913938/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_69_0.500",69,c9434b115516e234fff8a4a5f9c2200d6959615749c8706f597464e72b43bee3,experiments_numeric.architecture_2.drone_mcts,experiments_numeric.architecture_2.drone,hadd-astar,c72c9080
2,drone,923500475,legacy_dropout_current,20,20401216,20425862,2,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913677/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_1_0.000",1,9b6add4c4e8b104c3e8cad429bf203355ad01eb9d95d5080f788e92a5de88e95,experiments_numeric.architecture_2.drone_mcts,experiments_numeric.architecture_2.drone,hadd-astar,c72c9080
3,drone,923500475,deterministic_current,20,20401216,20425862,2,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913677/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_1_0.000",1,9b6add4c4e8b104c3e8cad429bf203355ad01eb9d95d5080f788e92a5de88e95,experiments_numeric.architecture_2.drone_mcts,experiments_numeric.architecture_2.drone,hadd-astar,c72c9080
4,fo_counters,534933607,legacy_dropout_current,20,20401233,20426934,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.946490/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_57_1.000",57,85cafdce97d0244db804a9c4b5999a0ac80d6262aea352180e75a511f31329ec,experiments_numeric.architecture_2.fo_counters_mcts,experiments_numeric.architecture_2.fo_counters,hmrmax-astar,c72c9080
5,fo_counters,534933607,deterministic_current,20,20401233,20426934,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.946490/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_57_1.000",57,85cafdce97d0244db804a9c4b5999a0ac80d6262aea352180e75a511f31329ec,experiments_numeric.architecture_2.fo_counters_mcts,experiments_numeric.architecture_2.fo_counters,hmrmax-astar,c72c9080
6,fo_counters,923500475,legacy_dropout_current,20,20401236,20427164,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.947205/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_14_1.000",14,7a75818c108961a2afea9960d3b3eceaf359210133a87b8557c28c7ffd8b42b9,experiments_numeric.architecture_2.fo_counters_mcts,experiments_numeric.architecture_2.fo_counters,hmrmax-astar,c72c9080
7,fo_counters,923500475,deterministic_current,20,20401236,20427164,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.947205/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_14_1.000",14,7a75818c108961a2afea9960d3b3eceaf359210133a87b8557c28c7ffd8b42b9,experiments_numeric.architecture_2.fo_counters_mcts,experiments_numeric.architecture_2.fo_counters,hmrmax-astar,c72c9080
