value_head,seed,target_instance,scientific_job_id,policy_solved,historical_pw70_outcome,trace_outcome,first_policy_divergence_step,elapsed_seconds,root_visits,visit_pattern,pw_selected_action,pw_selected_visits,pw_selected_q,pw_selected_prior,policy_action,policy_action_visits,policy_action_q,policy_action_prior,policy_recoverable_by_final_tie_break,remote_trace_log,source_policy_log,source_historical_pw_log
off,1963100312,instance_11_40_10_1.pddl,21266847_0,1,6h_timeout,6h_timeout,225,4453.1,117,unique_max_margin_11,77,46,0.05987,0.04545,74,35,0.000004,0.14682,0,/home/hersco/training_new_domains/2026-09-14/block_grouping_pw70_tie_trace/off/1963100312/instance_11_40_10_1/21266847_0_off_1963100312_instance_11_40_10_1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-off-1963100312-s1_20755790.out
off,2011206605,instance_11_30_7_2.pddl,21267923_1,1,6h_timeout,6h_timeout,216,2435.7,105,unique_max_margin_14,30,33,,,86,19,,,0,/home/hersco/training_new_domains/2026-09-14/block_grouping_pw70_tie_trace/off/2011206605/instance_11_30_7_2/21267923_1_off_2011206605_instance_11_30_7_2.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424847_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20401188_e0040.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-off-2011206605-s1_20755791.out
on,1963100312,instance_20_40_10_2.pddl,21283849_2,1,6h_timeout,6h_timeout,27,383.8,198,unique_max_margin_5,121,47,,,156,42,,,0,/home/hersco/training_new_domains/2026-09-14/block_grouping_pw70_tie_trace/on/1963100312/instance_20_40_10_2/21283849_2_on_1963100312_instance_20_40_10_2.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424464_Ev_block_grouping_block_grouping_orig_vh_c.1_s1963100312_SR10P_src20401177_e0004.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-on-1963100312-s1_20755792.out
on,2011206605,instance_100_25_6_2.pddl,21266624_3,1,6h_timeout,6h_timeout,25,113.6,198,three_way_max_tie_policy_action_below_max,79,28,,,77,27,,,0,/home/hersco/training_new_domains/2026-09-14/block_grouping_pw70_tie_trace/on/2011206605/instance_100_25_6_2/21266624_3_on_2011206605_instance_100_25_6_2.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424502_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10P_src20401178_e0026.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-on-2011206605-s1_20755793.out
