manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log
preserve3-term-delivery-off-534933607-a30-policy-e0000,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_0_1.0000",20755719,0,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0005,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_5_1.0000",20755719,5,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0010,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_10_1.0000",20755719,10,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0015,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_15_1.0000",20755719,15,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0020,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_20_1.0000",20755719,20,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0025,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_25_1.0000",20755719,25,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0030,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_30_1.0000",20755719,30,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0035,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_35_1.0000",20755719,35,preserve3_term_delivery_off_learning_curve;preserve3_term_delivery_off_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0040,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_40_1.0000",20755719,40,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0045,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_45_1.0000",20755719,45,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0050,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_50_1.0000",20755719,50,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
preserve3-term-delivery-off-534933607-a30-policy-e0055,policy_eval,delivery,off,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_55_1.0000",20755719,55,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755719_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522935.txt
