array_index,role,seed,vh,stage1_training_job,stage1_selected_epoch,stage1_checkpoint,stage1_policy_score,original_stage2_job,original_epoch0_score,control_type,teacher,anchor_coeff,stage2_epochs,optimizer_steps,cpus,memory_gib,time_limit,training_log,audit_jsonl,endpoint_path_file
0,catastrophic_outlier,1972442430,off,20523062,15,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:58:34.413651/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911972-72aea46/snapshots/snapshot_15_1.000",20,20684881,10,known_outlier,hadd-astar,3,1,60,6,48,04:00:00,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/train_%A_0.txt,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/catastrophic_outlier_1972442430/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/catastrophic_outlier_1972442430/endpoint_path.txt
1,stable_control,2082152039,off,20523053,5,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:23:43.293616/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911937-faf7d6/snapshots/snapshot_5_0.667",20,20684882,20,matched_stable,hadd-astar,3,1,60,6,48,04:00:00,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/train_%A_1.txt,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/stable_control_2082152039/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/stable_control_2082152039/endpoint_path.txt
