role,seed,stage1_policy_score,original_stage2_epoch0_score,phase_a_one_epoch_policy_score,phase_a_endpoint_state,worker_status,ingestion_order,optimizer_steps,mean_step_kl,max_step_kl,mean_step_p99,total_parameter_delta_l2,mean_policy_gradient_l2,mean_weighted_anchor_gradient_l2,mean_policy_anchor_gradient_cosine,target_argmax_disagreement_rate,unique_replay_observations,unique_replay_targets,mean_target_entropy,training_job,probe_job,endpoint_job,remote_audit,remote_endpoint_log
catastrophic_outlier,1972442430,20,10,,running,"slot0 completed;slot1 completed;slot2 timed_out","1;0",60,0.142079921,3.768069744,0.821995215,2.094920478,1.540192102,1.884783017,-0.341904168,0.410166667,36,41,0.186989953,21253011_0,21253014_0,21253018_0,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/catastrophic_outlier_1972442430/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/endpoint_21253018_0.txt
stable_control,2082152039,20,20,20,complete,"slot0 completed;slot1 completed;slot2 timed_out","1;0",60,0.099296664,2.151574850,0.524149911,1.723912907,1.503790509,1.605649964,-0.660517349,0.484666667,27,36,0.136164519,21253011_1,21253014_1,21253018_1,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/stable_control_2082152039/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/endpoint_21253018_1.txt
