stage,branch,domain,value_head,search,cutoff,policy_mean,mcts_mean,change,ci95_low,ci95_high,raw_p,holm_p,row_level_provenance
Stage 2,terminal,counters,on,narrow5/20,2h,16.8,22.0,5.2,1.0181879334432073,9.381812066556794,0.01953125,0.21484375,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,counters,on,narrow5/20,6h,16.8,22.4,5.6,1.842083364415863,9.357916635584136,0.0078125,0.109375,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,drone,off,normal20/70,30m,7.8,9.7,1.9,0.4914117564028868,3.308588243597113,0.025390625,0.25390625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,drone,off,normal20/70,2h,7.8,9.8,2.0,0.5301834128028082,3.469816587197192,0.025390625,0.25390625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,drone,off,normal20/70,6h,7.8,9.9,2.1,0.6516132974926896,3.548386702507311,0.01953125,0.25390625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,drone,on,normal20/70,30m,6.5,12.9,6.4,5.3230725929757385,7.476927407024262,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,drone,on,normal20/70,2h,6.5,13.1,6.6,5.471516132148979,7.72848386785102,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,drone,on,normal20/70,6h,6.5,13.1,6.6,5.471516132148979,7.72848386785102,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,fo_counters,off,normal20/70,30m,2.8,5.3,2.5,1.7273799122466462,3.272620087753354,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,fo_counters,off,normal20/70,2h,2.8,5.3,2.5,1.7273799122466462,3.272620087753354,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,fo_counters,off,normal20/70,6h,2.8,5.3,2.5,1.7273799122466462,3.272620087753354,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,rover,off,normal20/70,30m,3.8,4.2,0.4,0.030616946788296795,0.7693830532117032,0.125,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,rover,off,normal20/70,2h,3.8,4.2,0.4,0.030616946788296795,0.7693830532117032,0.125,0.875,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,rover,off,normal20/70,6h,3.8,4.2,0.4,0.030616946788296795,0.7693830532117032,0.125,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,rover,on,normal20/70,30m,4.0,4.5,0.5,0.123,0.877,0.0625,0.5625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,rover,on,normal20/70,2h,4.0,4.5,0.5,0.123,0.877,0.0625,0.5625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,terminal,rover,on,normal20/70,6h,4.0,4.5,0.5,0.123,0.877,0.0625,0.6875,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,block_grouping,off,narrow5/20,30m,16.0,11.4,-4.6,-5.368932142649792,-3.8310678573502077,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,block_grouping,off,narrow5/20,2h,16.0,15.0,-1.0,-2.011597153020905,0.011597153020904916,0.09375,0.75,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,block_grouping,off,narrow5/20,6h,16.0,15.7,-0.3,-0.8888928255633617,0.28889282556336177,0.5,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,block_grouping,on,narrow5/20,30m,12.8,10.1,-2.7,-3.3786,-2.0214000000000003,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,block_grouping,on,narrow5/20,2h,12.8,10.6,-2.2,-3.2556000000000003,-1.1444000000000003,0.0078125,0.1015625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,block_grouping,on,narrow5/20,6h,12.8,12.6,-0.2,-1.0793075457426713,0.6793075457426714,0.8125,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,counters,off,narrow5/20,30m,36.9,34.9,-2.0,-6.932796853712911,2.9327968537129108,0.5,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,counters,off,narrow5/20,2h,36.9,36.7,-0.2,-2.872182808117738,2.4721828081177377,0.96875,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,counters,off,narrow5/20,6h,36.9,36.7,-0.2,-2.872182808117738,2.4721828081177377,0.96875,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,counters,on,narrow5/20,30m,21.8,22.6,0.8,-8.284370234639272,9.884370234639274,0.869140625,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,counters,on,narrow5/20,2h,21.8,26.4,4.6,-1.8262743670030144,11.026274367003014,0.15234375,0.875,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,counters,on,narrow5/20,6h,21.8,27.1,5.3,-0.6946556498267693,11.294655649826769,0.08203125,0.73828125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,drone,off,normal20/70,30m,6.7,7.5,0.8,-0.5821048295986813,2.182104829598681,0.359375,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,drone,off,normal20/70,2h,6.7,7.7,1.0,-0.4306144134601748,2.430614413460175,0.1953125,0.875,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,drone,off,normal20/70,6h,6.7,7.7,1.0,-0.4306144134601748,2.430614413460175,0.1953125,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,drone,on,normal20/70,30m,5.0,10.9,5.9,4.232653833182804,7.567346166817197,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,drone,on,normal20/70,2h,5.0,11.2,6.2,4.3286212141845795,8.071378785815421,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,drone,on,normal20/70,6h,5.0,11.2,6.2,4.3286212141845795,8.071378785815421,0.001953125,0.033203125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,rover,off,normal20/70,30m,4.0,4.5,0.5,-0.005798576510452458,1.0057985765104525,0.125,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,rover,off,normal20/70,2h,4.0,4.5,0.5,-0.005798576510452458,1.0057985765104525,0.125,0.875,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,rover,off,normal20/70,6h,4.0,4.5,0.5,-0.005798576510452458,1.0057985765104525,0.125,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,rover,on,normal20/70,30m,3.9,4.4,0.5,-0.19515365207988367,1.1951536520798838,0.25,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,rover,on,normal20/70,2h,3.9,4.5,0.6,-0.09105241479934068,1.2910524147993407,0.15625,0.875,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
Stage 2,validation,rover,on,normal20/70,6h,3.9,4.5,0.6,-0.09105241479934068,1.2910524147993407,0.15625,1.0,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
