domain,value_head,stage,epoch,mean,min,max,n
drone,off,stage1,25,26.5,15.0,40.0,10
drone,off,stage1,30,29.0,15.0,40.0,10
drone,off,stage1,35,30.5,15.0,55.0,10
drone,off,stage1,38,20.0,20.0,20.0,1
drone,off,stage1,40,33.5,20.0,40.0,10
drone,off,stage1,45,31.5,15.0,40.0,10
drone,off,stage1,50,33.0,20.0,50.0,10
drone,off,stage1,51,25.0,25.0,25.0,1
drone,off,stage1,55,35.55555555555556,20.0,55.0,9
drone,off,stage1,60,38.888888888888886,25.0,55.0,9
drone,off,stage1,65,41.666666666666664,20.0,60.0,9
drone,off,stage1,67,15.0,15.0,15.0,1
drone,off,stage1,69,55.0,55.0,55.0,1
drone,off,stage1,70,39.375,30.0,50.0,8
drone,off,stage1,75,38.75,25.0,55.0,8
drone,off,stage1,80,39.375,15.0,55.0,8
drone,off,stage1,85,40.625,25.0,65.0,8
drone,off,stage1,90,31.428571428571427,20.0,50.0,7
drone,off,stage1,92,50.0,50.0,50.0,1
drone,off,stage1,95,40.833333333333336,35.0,50.0,6
drone,off,stage1,100,36.666666666666664,30.0,45.0,6
drone,off,stage1,105,38.0,15.0,50.0,5
drone,off,stage1,110,48.0,35.0,70.0,5
drone,off,stage1,115,47.0,30.0,60.0,5
drone,off,stage1,120,36.666666666666664,30.0,45.0,3
drone,off,stage1,125,43.333333333333336,35.0,50.0,3
drone,off,stage1,130,40.0,25.0,55.0,3
drone,off,stage1,135,47.5,45.0,50.0,2
drone,off,stage1,140,42.5,40.0,45.0,2
drone,off,stage1,145,20.0,20.0,20.0,1
drone,off,stage1,150,35.0,35.0,35.0,1
drone,off,stage1,155,45.0,45.0,45.0,1
drone,off,stage1,157,55.0,55.0,55.0,1
drone,off,stage1,160,35.0,35.0,35.0,1
drone,off,stage2,0,22.272727272727273,20.0,30.0,22
drone,off,stage2,5,22.045454545454547,20.0,30.0,22
drone,off,stage2,10,21.363636363636363,20.0,25.0,22
