experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,horizon-counters-off-1963100312-aware,counters,,off,1963100312,aware,70,,,20755802,20401258,101,,TIMEOUT,3-00:00:01,,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out
,horizon-counters-off-1963100312-unaware,counters,,off,1963100312,unaware,70,,,20755803,20401258,101,,TIMEOUT,3-00:00:21,,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out
,horizon-counters-off-2011206605-aware,counters,,off,2011206605,aware,70,,,20755804,20401259,37,,TIMEOUT,3-00:00:23,,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-2011206605-aware_20755804.out
,horizon-counters-off-2011206605-unaware,counters,,off,2011206605,unaware,70,,,20755805,20401259,37,,TIMEOUT,3-00:00:03,,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-2011206605-unaware_20755805.out
,horizon-counters-on-1963100312-aware,counters,,on,1963100312,aware,70,,,20755806,20401268,204,,TIMEOUT,3-00:00:01,,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-on-1963100312-aware_20755806.out
,horizon-counters-on-1963100312-unaware,counters,,on,1963100312,unaware,70,,,20755807,20401268,204,,TIMEOUT,3-00:00:01,,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-on-1963100312-unaware_20755807.out
,horizon-counters-on-2011206605-aware,counters,,on,2011206605,aware,70,,,20755808,20401269,9,,TIMEOUT,3-00:00:11,,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-on-2011206605-aware_20755808.out
,horizon-counters-on-2011206605-unaware,counters,,on,2011206605,unaware,70,,,20755809,20401269,9,,RUNNING,2-20:54:14,,,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-on-2011206605-unaware_20755809.out
