job_id,instance_number,instance_path,status,hit_goal,steps,elapsed_seconds,evaluation_signature,source_evaluation_log,source_completion_ledger
20755802,14,../problems/numeric/counters/vanilla/fz_instance_15.pddl,success,True,185,489.49808538518846,a89c0912cc6a6c12771929f14c576318eddeb134735a249a9766dba875948c6a,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755802.jsonl
20755802,16,../problems/numeric/counters/vanilla/fz_instance_17.pddl,success,True,142,403.1025571394712,a89c0912cc6a6c12771929f14c576318eddeb134735a249a9766dba875948c6a,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755802.jsonl
20755802,17,../problems/numeric/counters/vanilla/fz_instance_18.pddl,success,True,161,484.8722380939871,a89c0912cc6a6c12771929f14c576318eddeb134735a249a9766dba875948c6a,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755802.jsonl
20755802,18,../problems/numeric/counters/vanilla/fz_instance_19.pddl,success,True,177,591.0150952450931,a89c0912cc6a6c12771929f14c576318eddeb134735a249a9766dba875948c6a,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755802.jsonl
20755802,19,../problems/numeric/counters/vanilla/fz_instance_20.pddl,success,True,198,739.9165693186224,a89c0912cc6a6c12771929f14c576318eddeb134735a249a9766dba875948c6a,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755802.jsonl
20755802,20,../problems/numeric/counters/vanilla/fz_instance_21.pddl,success,True,218,865.533256823197,a89c0912cc6a6c12771929f14c576318eddeb134735a249a9766dba875948c6a,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755802.jsonl
20755802,21,../problems/numeric/counters/vanilla/fz_instance_22.pddl,success,True,257,1169.7345115635544,a89c0912cc6a6c12771929f14c576318eddeb134735a249a9766dba875948c6a,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755802.jsonl
20755802,22,../problems/numeric/counters/vanilla/fz_instance_23.pddl,success,True,285,1873.5247726552188,a89c0912cc6a6c12771929f14c576318eddeb134735a249a9766dba875948c6a,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-aware_20755802.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755802.jsonl
20755803,1,../problems/numeric/counters/vanilla/fz_instance_2.pddl,success,True,1,9.291426416486502,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,2,../problems/numeric/counters/vanilla/fz_instance_3.pddl,success,True,3,11.301593214273453,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
