rq,stage,cutoff,estimand,domain,n,paired_differences,mean_difference,studentized_abs_t,canonical_raw_mean_signflip_p,canonical_holm_p,westfall_raw_studentized_p,westfall_young_single_step_maxT_p,westfall_young_step_down_maxT_p,holm_significant_0_05,single_step_maxT_significant_0_05,step_down_maxT_significant_0_05,permutations,seed_alignment
RQ4,Stage 1,6h,Cross-cell level: VH-on MCTS - parallel VH-off policy,counters,10,-26;-1;-12;7;-4;4;-5;-21;0;-42,-10.0,2.0546017540462267,0.0703125,0.3515625,0.0703125,0.28125,0.208984375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,Cross-cell level: VH-on MCTS - parallel VH-off policy,mprime,10,0;-1;1;0;-4;-1;4;1;-1;-2,-0.3,0.44943855249503006,0.7578125,1.0,0.7578125,0.998046875,0.94921875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,block_grouping,10,1;3;-1;1;3;2;0;0;0;3,1.2,2.5714285714285716,0.0625,0.25390625,0.0625,0.1484375,0.1328125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,drone,10,8;0;6;3;2;7;0;4;6;7,4.3,4.61598292192111,0.0078125,0.046875,0.0078125,0.01171875,0.01171875,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,fo_counters,10,-4;0;-1;3;-2;-2;-2;-2;-2;-4,-1.6,2.5158836081326044,0.05078125,0.25390625,0.05078125,0.169921875,0.1328125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,rover,10,0;1;-1;-2;-1;-3;1;0;0;1,-0.4,0.9370425713316365,0.515625,1.0,0.515625,0.91796875,0.705078125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,counters,10,-26;8;6;7;5;0;5;22;36;44,10.7,1.7291835465879688,0.12890625,0.38671875,0.12890625,0.470703125,0.2734375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,mprime,10,10;3;-4;-2;1;1;-2;2;-2;2,0.9,0.7244570470075942,0.611328125,1.0,0.611328125,0.970703125,0.705078125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH-on direct: MCTS - same-checkpoint policy,block_grouping,10,1;1;0;-1;0;1;0;1;-1;1,0.3,1.152331919396064,0.453125,0.984375,0.453125,0.87109375,0.662109375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH-on direct: MCTS - same-checkpoint policy,drone,10,9;3;7;5;1;8;2;6;5;7,5.3,6.3804502135457675,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH-on direct: MCTS - same-checkpoint policy,fo_counters,10,0;1;2;3;4;2;4;1;2;1,2.0,4.74341649025257,0.00390625,0.01953125,0.00390625,0.005859375,0.00390625,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH-on direct: MCTS - same-checkpoint policy,rover,10,2;1;0;0;0;0;1;0;0;2,0.6,2.25,0.125,0.5,0.125,0.24609375,0.20703125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH-on direct: MCTS - same-checkpoint policy,counters,10,-26;8;6;14;10;1;7;5;0;14,3.9,1.072131890124915,0.328125,0.984375,0.328125,0.91796875,0.662109375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 1,6h,VH-on direct: MCTS - same-checkpoint policy,mprime,10,6;1;-3;-2;-1;0;1;3;-3;1,0.3,0.33992530857022407,0.828125,0.984375,0.828125,1.0,0.828125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,Cross-cell level: VH-on MCTS - parallel VH-off policy,block_grouping,10,-3;-5;-2;-4;-7;-8;-6;-5;-7;-7,-5.4,8.734454629478513,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,Cross-cell level: VH-on MCTS - parallel VH-off policy,drone,10,2;5;-2;6;-5;7;5;8;8;11,4.5,2.9148762403408304,0.029296875,0.1171875,0.029296875,0.111328125,0.087890625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,Cross-cell level: VH-on MCTS - parallel VH-off policy,fo_counters,10,4;3;1;3;0;7;1;-1;2;5,2.5,3.273268353539886,0.015625,0.078125,0.015625,0.087890625,0.08203125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,Cross-cell level: VH-on MCTS - parallel VH-off policy,rover,10,1;0;2;1;1;1;0;0;0;-1,0.5,1.860521018838127,0.1875,0.375,0.1875,0.45703125,0.25,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,Cross-cell level: VH-on MCTS - parallel VH-off policy,counters,10,-3;0;-11;-23;-38;-13;-25;-40;52;-4,-10.5,1.2738845755596868,0.23828125,0.375,0.23828125,0.708984375,0.25,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,Cross-cell level: VH-on MCTS - parallel VH-off policy,mprime,10,2;0;-2;-6;-4;-1;0;0;-4;-4,-1.9,2.3895643064568155,0.0625,0.1875,0.0625,0.2109375,0.13671875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,block_grouping,10,3;-4;-4;-1;-3;0;0;0;0;-3,-1.2,1.6858544608470492,0.15625,0.78125,0.15625,0.544921875,0.505859375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,drone,10,8;4;6;3;2;8;4;8;1;8,5.2,6.000000000000001,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,fo_counters,10,-1;2;0;-3;0;-1;-4;-2;2;-2,-0.9,1.445276864444911,0.234375,0.8125,0.234375,0.673828125,0.505859375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,rover,10,0;0;1;-1;1;0;-1;0;0;1,0.1,0.42857142857142866,1.0,1.0,1.0,1.0,1.0,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,counters,10,-3;6;4;15;28;0;6;7;-4;-11,4.8,1.3975972491517266,0.21484375,0.8125,0.21484375,0.779296875,0.53515625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,mprime,10,1;-3;-5;0;5;0;-4;-4;-2;-2,-1.4,1.4812257933030564,0.203125,0.8125,0.203125,0.62109375,0.505859375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH-on direct: MCTS - same-checkpoint policy,block_grouping,10,1;-4;-3;-1;-3;-3;-3;-2;-1;-3,-2.2,4.714285714285715,0.0078125,0.03125,0.0078125,0.015625,0.01171875,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH-on direct: MCTS - same-checkpoint policy,drone,10,4;6;7;5;2;10;6;10;4;8,6.2,7.4941535654360365,0.001953125,0.01171875,0.001953125,0.00390625,0.00390625,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH-on direct: MCTS - same-checkpoint policy,fo_counters,10,2;3;2;1;1;3;2;0;4;5,2.3,4.866884749424328,0.00390625,0.01953125,0.00390625,0.01171875,0.009765625,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH-on direct: MCTS - same-checkpoint policy,rover,10,1;0;2;1;1;0;-1;0;0;2,0.6,1.9639610121239315,0.15625,0.3046875,0.15625,0.373046875,0.2421875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH-on direct: MCTS - same-checkpoint policy,counters,10,-5;7;4;18;18;1;7;7;-1;-10,4.6,1.619165227900566,0.15234375,0.3046875,0.15234375,0.525390625,0.2421875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,2h,VH-on direct: MCTS - same-checkpoint policy,mprime,10,3;-1;-4;-3;1;-2;-4;-3;-4;-4,-2.1,2.7391304347826084,0.041015625,0.123046875,0.041015625,0.130859375,0.09375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,Cross-cell level: VH-on MCTS - parallel VH-off policy,block_grouping,10,-6;-5;-3;-5;-7;-8;-6;-5;-7;-7,-5.9,12.874855523923552,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,Cross-cell level: VH-on MCTS - parallel VH-off policy,drone,10,2;5;-2;6;-5;6;4;7;8;11,4.2,2.7924259052209988,0.03125,0.09375,0.03125,0.095703125,0.060546875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,Cross-cell level: VH-on MCTS - parallel VH-off policy,fo_counters,10,4;3;1;3;0;7;0;-1;2;4,2.3,3.0229448849344323,0.0234375,0.09375,0.0234375,0.083984375,0.060546875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,Cross-cell level: VH-on MCTS - parallel VH-off policy,rover,10,0;0;2;1;1;1;0;0;0;-1,0.4,1.5,0.3125,0.3125,0.3125,0.63671875,0.3125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,Cross-cell level: VH-on MCTS - parallel VH-off policy,counters,10,-17;-3;-11;-24;-40;-13;-25;-40;38;-8,-14.3,2.033175355450237,0.078125,0.15625,0.078125,0.298828125,0.12890625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,Cross-cell level: VH-on MCTS - parallel VH-off policy,mprime,10,-1;0;-3;-8;-7;-4;-2;-1;-4;-6,-3.6,4.191212838814198,0.00390625,0.01953125,0.00390625,0.015625,0.013671875,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,block_grouping,10,4;-1;0;3;1;3;3;2;3;1,1.9,3.766666022594012,0.015625,0.078125,0.015625,0.04296875,0.03515625,False,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,drone,10,8;4;7;3;2;7;3;7;2;8,5.1,6.414093664699873,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,fo_counters,10,-1;2;0;-3;0;-1;-5;-2;2;-3,-1.1,1.557366288003929,0.1953125,0.5859375,0.1953125,0.642578125,0.49609375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,rover,10,-1;0;1;-1;1;0;-1;0;0;1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,counters,10,-17;3;4;14;35;0;6;16;-18;-15,2.8,0.5315178367301814,0.59765625,1.0,0.59765625,0.994140625,0.890625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,mprime,10,0;-2;-3;0;3;-2;-6;-2;1;-4,-1.5,1.829510163408919,0.125,0.5,0.125,0.427734375,0.333984375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH-on direct: MCTS - same-checkpoint policy,block_grouping,10,-2;-4;-4;-2;-3;-3;-3;-2;-1;-3,-2.7,9.000000000000002,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH-on direct: MCTS - same-checkpoint policy,drone,10,4;6;7;5;2;9;5;9;4;8,5.9,8.004216680136583,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH-on direct: MCTS - same-checkpoint policy,fo_counters,10,2;3;2;1;1;3;1;0;4;4,2.1,4.846153846153847,0.00390625,0.015625,0.00390625,0.01171875,0.005859375,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH-on direct: MCTS - same-checkpoint policy,rover,10,0;0;2;1;1;0;-1;0;0;2,0.5,1.6269784336399216,0.25,0.5,0.25,0.49609375,0.369140625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH-on direct: MCTS - same-checkpoint policy,counters,10,-19;4;4;17;16;1;7;7;-15;-14,0.8,0.19919927889991562,0.869140625,0.869140625,0.869140625,1.0,0.869140625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,30m,VH-on direct: MCTS - same-checkpoint policy,mprime,10,0;-1;-5;-5;-2;-5;-6;-4;-4;-6,-3.8,5.728715546977509,0.00390625,0.015625,0.00390625,0.00390625,0.00390625,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,Cross-cell level: VH-on MCTS - parallel VH-off policy,block_grouping,10,-3;-3;1;-3;-4;-7;-4;-3;-4;-4,-3.4,5.499471433375359,0.00390625,0.0234375,0.00390625,0.009765625,0.009765625,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,Cross-cell level: VH-on MCTS - parallel VH-off policy,drone,10,2;5;-2;6;-5;7;5;8;8;11,4.5,2.9148762403408304,0.029296875,0.1171875,0.029296875,0.126953125,0.099609375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,Cross-cell level: VH-on MCTS - parallel VH-off policy,fo_counters,10,4;3;1;3;0;7;1;-1;2;5,2.5,3.273268353539886,0.015625,0.078125,0.015625,0.083984375,0.078125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,Cross-cell level: VH-on MCTS - parallel VH-off policy,rover,10,1;0;2;1;1;1;0;0;0;-1,0.5,1.860521018838127,0.1875,0.5625,0.1875,0.48828125,0.33984375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,Cross-cell level: VH-on MCTS - parallel VH-off policy,counters,10,3;0;-11;-23;-38;-13;-25;-40;53;-4,-9.8,1.1656392189405755,0.2890625,0.578125,0.2890625,0.810546875,0.5078125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,Cross-cell level: VH-on MCTS - parallel VH-off policy,mprime,10,3;2;-2;-4;-3;0;1;2;-2;-2,-0.5,0.6546536707079772,0.6015625,0.6015625,0.6015625,0.98046875,0.6015625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,block_grouping,10,1;-2;-1;0;0;0;0;0;3;0,0.1,0.24576957615571215,1.0,1.0,1.0,1.0,1.0,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,drone,10,8;4;6;3;2;8;4;8;1;8,5.2,6.000000000000001,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,fo_counters,10,-1;2;0;-3;0;-1;-4;-2;2;-2,-0.9,1.445276864444911,0.234375,0.9375,0.234375,0.6953125,0.529296875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,rover,10,0;0;1;-1;1;0;-1;0;0;1,0.1,0.42857142857142866,1.0,1.0,1.0,1.0,1.0,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,counters,10,3;6;4;15;28;0;6;7;-3;-11,5.5,1.6646297986075504,0.13671875,0.68359375,0.13671875,0.5546875,0.498046875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,mprime,10,1;-1;-5;1;6;0;-3;-4;-3;0,-0.8,0.7929823205461078,0.5,1.0,0.5,0.982421875,0.83203125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH-on direct: MCTS - same-checkpoint policy,block_grouping,10,1;-2;0;0;0;-2;-1;0;2;0,-0.2,0.5144957554275266,0.8125,0.890625,0.8125,1.0,0.8125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH-on direct: MCTS - same-checkpoint policy,drone,10,4;6;7;5;2;10;6;10;4;8,6.2,7.4941535654360365,0.001953125,0.01171875,0.001953125,0.001953125,0.001953125,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH-on direct: MCTS - same-checkpoint policy,fo_counters,10,2;3;2;1;1;3;2;0;4;5,2.3,4.866884749424328,0.00390625,0.01953125,0.00390625,0.0078125,0.005859375,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH-on direct: MCTS - same-checkpoint policy,rover,10,1;0;2;1;1;0;-1;0;0;2,0.6,1.9639610121239315,0.15625,0.46875,0.15625,0.412109375,0.265625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH-on direct: MCTS - same-checkpoint policy,counters,10,1;7;4;18;18;1;7;7;0;-10,5.3,1.9998813443682026,0.08203125,0.328125,0.08203125,0.326171875,0.224609375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ4,Stage 2,6h,VH-on direct: MCTS - same-checkpoint policy,mprime,10,4;1;-4;-1;2;-1;-3;-1;-2;-2,-0.7,0.9200267041104794,0.4453125,0.890625,0.4453125,0.947265625,0.673828125,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
