experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,instance_number,instance_path,status,elapsed_seconds,success,steps,success_le_1800s,success_le_7200s,success_le_21600s
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,15,../problems/numeric/counters/vanilla/fz_instance_16.pddl,success,29.58,True,120,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,16,../problems/numeric/counters/vanilla/fz_instance_17.pddl,success,32.34,True,136,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,17,../problems/numeric/counters/vanilla/fz_instance_18.pddl,success,37.35,True,153,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,18,../problems/numeric/counters/vanilla/fz_instance_19.pddl,success,45.14,True,191,1,1,1
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,19,../problems/numeric/counters/vanilla/fz_instance_20.pddl,unsolved,1083.76,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,20,../problems/numeric/counters/vanilla/fz_instance_21.pddl,unsolved,1331.88,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,21,../problems/numeric/counters/vanilla/fz_instance_22.pddl,unsolved,1618.51,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,22,../problems/numeric/counters/vanilla/fz_instance_23.pddl,unsolved,1966.67,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,23,../problems/numeric/counters/vanilla/fz_instance_24.pddl,unsolved,1938.14,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,24,../problems/numeric/counters/vanilla/fz_instance_25.pddl,unsolved,2560.27,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,25,../problems/numeric/counters/vanilla/fz_instance_26.pddl,unsolved,2056.56,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,26,../problems/numeric/counters/vanilla/fz_instance_27.pddl,unsolved,1686.57,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,27,../problems/numeric/counters/vanilla/fz_instance_28.pddl,unsolved,2106.25,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,28,../problems/numeric/counters/vanilla/fz_instance_29.pddl,unsolved,2716.51,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,29,../problems/numeric/counters/vanilla/fz_instance_30.pddl,unsolved,3022.4,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,30,../problems/numeric/counters/vanilla/fz_instance_31.pddl,unsolved,3189.09,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,31,../problems/numeric/counters/vanilla/fz_instance_32.pddl,unsolved,3684.58,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,32,../problems/numeric/counters/vanilla/fz_instance_33.pddl,unsolved,3846.45,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,33,../problems/numeric/counters/vanilla/fz_instance_34.pddl,unsolved,4420.77,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,34,../problems/numeric/counters/vanilla/fz_instance_35.pddl,unsolved,4834.3,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,35,../problems/numeric/counters/vanilla/fz_instance_36.pddl,unsolved,4519.01,False,10000,0,0,0
,counters-off-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1472491096,fixed_narrow_w5,20,20649848,TIMEOUT,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649848_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430421_e0005.txt,36,../problems/numeric/counters/vanilla/fz_instance_37.pddl,unsolved,5496.97,False,10000,0,0,0
