array_index,role,treatment,seed,start_stage1_checkpoint,source_weights_sha256,frozen_replay_batch_dir,frozen_checksum_manifest,matched_phase_c_audit,epochs,optimizer_steps,anchor_coeff,base_learning_rate,fixed_rng_base_seed,training_log,audit_jsonl,endpoint_log
0,catastrophic_outlier,legacy_dropout_current_kl_fixed_rng,1972442430,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:58:34.413651/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911972-72aea46/snapshots/snapshot_15_1.000",62c01cac5cbacb776e0c2b0e3d421d0314bb1abe282c14925c51602e2bfaecec,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/catastrophic_outlier_1972442430/first_update_audit.jsonl.batches,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_b_crossover/frozen_schedule_checksums.csv,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_c_exact_rng/catastrophic_outlier_inactive/first_update_audit.jsonl,1,60,3,0.0003,314159,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/train_%A_0.txt,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/catastrophic_outlier_legacy_exact_rng/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/endpoint_%A_0.txt
1,stable_control,legacy_dropout_current_kl_fixed_rng,2082152039,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:23:43.293616/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911937-faf7d6/snapshots/snapshot_5_0.667",e97c179d214e0a84b824f584accdecf56373de6d92c353166ef5b2ed18b7b353,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_a/stable_control_2082152039/first_update_audit.jsonl.batches,/home/hersco/training_new_domains/2026-09-14/tpp_first_update_phase_b_crossover/frozen_schedule_checksums.csv,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_c_exact_rng/stable_control_inactive/first_update_audit.jsonl,1,60,3,0.0003,314159,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/train_%A_1.txt,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/stable_control_legacy_exact_rng/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/endpoint_%A_1.txt
