role,seed,fixed_rng,legacy_kl_training_job,legacy_kl_endpoint_job,legacy_kl_score,deterministic_kl_training_job,deterministic_kl_endpoint_job,deterministic_kl_score,legacy_minus_deterministic,legacy_training_audit,legacy_endpoint_log,deterministic_training_audit,deterministic_endpoint_log,conclusion
catastrophic_outlier,1972442430,314159,21408668_0,21409234_0,11,21394946_2,21394948_2,20,-9,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/catastrophic_outlier_legacy_exact_rng/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/endpoint_verified_21409234_0.txt,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_c_exact_rng/catastrophic_outlier_inactive/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_c_exact_rng/endpoint_21394948_2.txt,legacy_dropout_current_kl_reproduces_large_selected_seed_loss_while_deterministic_current_kl_prevents_it
stable_control,2082152039,314159,21408668_1,21409234_1,20,21394946_3,21394948_3,20,0,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/stable_control_legacy_exact_rng/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_d_legacy_exact_rng/endpoint_verified_21409234_1.txt,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_c_exact_rng/stable_control_inactive/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-16/tpp_first_update_phase_c_exact_rng/endpoint_21394948_3.txt,stable_seed_is_preserved_under_both_kl_semantics
