array_index,tie_break,seed,value_head,checkpoint,source_training_job_id,source_policy_job_id,source_policy_log,source_mcts_job_id,source_mcts_log,target_slots_one_based,target_instances,remote_output
0,action_id,1963100312,off,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920511/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_44_0.333",20401187,20424828,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,20594580,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594580_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401187_e0044.txt,"1,2,6,19","instance_100_20_5_1.pddl,instance_100_25_6_2.pddl,instance_11_40_10_1.pddl,instance_5_25_6_1.pddl",/home/hersco/training_new_domains/2026-09-13/block_grouping_tie_break_screen/action_id/1963100312
1,policy,1963100312,off,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920511/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_44_0.333",20401187,20424828,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,20594580,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594580_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401187_e0044.txt,"1,2,6,19","instance_100_20_5_1.pddl,instance_100_25_6_2.pddl,instance_11_40_10_1.pddl,instance_5_25_6_1.pddl",/home/hersco/training_new_domains/2026-09-13/block_grouping_tie_break_screen/policy/1963100312
