submitted_at_idt	failed_array_identity	failure_node	recovery_job	recovery_exclusions	finalizer_job	finalizer_dependency	downstream_job	downstream_dependency
2026-09-16T17:35:33+03:00	21411413_100	ise-cpu-intl-01	21412365	ise-cpu128-03,ise-cpu-intl-01	21412366	afterany:21411413,afterok:21412365	21412367	afterok:21412366
2026-09-16T20:00:00+03:00	21411413_100	ise-cpu-intl-01	21414946	ise-cpu128-03,ise-cpu-intl-01,ise-cpu128-06	21412366	afterok:21414946	21412367	afterok:21412366
