domain,value_head,seed,policy_score,fixed_30m,fixed_2h,fixed_6h,pw70_30m,pw70_2h,pw70_6h,included_in_inference,evidence_status,classified_instances,job_state,pw_job_id,source_policy_log,source_fixed_log,source_pw_log
rover,off,534933607,4,4,4,4,6,6,6,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428485_Ev_rover_rover_orig_novh_c.1_s534933607_SR10P_src20401253_e0124.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430102_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401253_e0124.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-534933607-stage1_20838275.out
rover,off,923500475,4,5,5,5,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428665_Ev_rover_rover_orig_novh_c.1_s923500475_SR10P_src20401256_e0020.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430107_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401256_e0020.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-923500475-stage1_20838276.out
rover,off,1073581256,4,6,6,6,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428109_Ev_rover_rover_orig_novh_c.1_s1073581256_SR10P_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-1073581256-stage1_20838274.out
rover,off,1963100312,4,4,5,5,6,6,6,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428037_Ev_rover_rover_orig_novh_c.1_s1963100312_SR10P_src20401248_e0025.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430097_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-off-1963100312-s1_20726026.out
rover,off,2011206605,4,4,4,4,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428091_Ev_rover_rover_orig_novh_c.1_s2011206605_SR10P_src20401249_e0044.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430098_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-off-2011206605-s1_20726027.out
rover,on,534933607,4,4,4,4,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427795_Ev_rover_rover_orig_vh_c.1_s534933607_SR10P_src20401243_e0017.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430092_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401243_e0017.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-534933607-stage1_20838278.out
rover,on,923500475,2,4,4,4,5,5,5,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428007_Ev_rover_rover_orig_vh_c.1_s923500475_SR10P_src20401246_e0004.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430095_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401246_e0004.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-923500475-stage1_20838279.out
rover,on,1073581256,4,6,6,6,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427494_Ev_rover_rover_orig_vh_c.1_s1073581256_SR10P_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430089_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-1073581256-stage1_20838277.out
rover,on,1963100312,4,4,4,4,7,7,7,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427194_Ev_rover_rover_orig_vh_c.1_s1963100312_SR10P_src20401238_e0070.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430087_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401238_e0070.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-on-1963100312-s1_20726028.out
rover,on,2011206605,4,5,5,5,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427445_Ev_rover_rover_orig_vh_c.1_s2011206605_SR10P_src20401239_e0095.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430088_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401239_e0095.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-on-2011206605-s1_20726029.out
fo_counters,off,1239739722,6.0,7,7,7,10,10,10,true,complete_declared_budget,20,COMPLETED,21039201,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426898_Ev_fo_counters_fo_counters_orig_novh_c.1_s1239739722_SR10P_src20401231_e0031.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430075_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401231_e0031.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039201_pw70-ten-fo_counters-off-1239739722-s1.txt
fo_counters,off,1472491096,4.0,7,7,7,9,9,9,true,complete_declared_budget,20,COMPLETED,21039202,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426912_Ev_fo_counters_fo_counters_orig_novh_c.1_s1472491096_SR10P_src20401232_e0016.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430076_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401232_e0016.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039202_pw70-ten-fo_counters-off-1472491096-s1.txt
fo_counters,off,1510771779,5.0,5,5,5,9,9,9,true,complete_declared_budget,20,OUT_OF_MEMORY,21039203,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427151_Ev_fo_counters_fo_counters_orig_novh_c.1_s1510771779_SR10P_src20401235_e0066.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430084_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401235_e0066.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039203_pw70-ten-fo_counters-off-1510771779-s1.txt
fo_counters,off,1972442430,4.0,8,8,8,9,9,9,true,complete_declared_budget,20,COMPLETED,21039204,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427180_Ev_fo_counters_fo_counters_orig_novh_c.1_s1972442430_SR10P_src20401237_e0028.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430086_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20401237_e0028.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039204_pw70-ten-fo_counters-off-1972442430-s1.txt
fo_counters,off,2082152039,5.0,8,8,8,7,7,7,true,oom_partial_declared_budget,19,OUT_OF_MEMORY,21039205,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427127_Ev_fo_counters_fo_counters_orig_novh_c.1_s2082152039_SR10P_src20401234_e0069.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430083_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401234_e0069.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039205_pw70-ten-fo_counters-off-2082152039-s1.txt
fo_counters,on,1239739722,5.0,6,6,6,8,8,8,true,complete_declared_budget,18,OUT_OF_MEMORY,21039206,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426204_Ev_fo_counters_fo_counters_orig_vh_c.1_s1239739722_SR10P_src20401221_e0092.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430065_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401221_e0092.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039206_pw70-ten-fo_counters-on-1239739722-s1.txt
fo_counters,on,1472491096,3.0,5,5,5,8,8,8,true,complete_declared_budget,20,COMPLETED,21039207,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426245_Ev_fo_counters_fo_counters_orig_vh_c.1_s1472491096_SR10P_src20401222_e0066.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430066_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401222_e0066.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039207_pw70-ten-fo_counters-on-1472491096-s1.txt
fo_counters,on,1510771779,6.0,8,9,9,9,9,9,true,complete_declared_budget,19,OUT_OF_MEMORY,21039208,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426437_Ev_fo_counters_fo_counters_orig_vh_c.1_s1510771779_SR10P_src20401225_e0068.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430069_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401225_e0068.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039208_pw70-ten-fo_counters-on-1510771779-s1.txt
fo_counters,on,1972442430,5.0,7,7,7,6,6,6,true,complete_declared_budget,20,COMPLETED,21039209,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426519_Ev_fo_counters_fo_counters_orig_vh_c.1_s1972442430_SR10P_src20401227_e0042.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430071_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401227_e0042.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039209_pw70-ten-fo_counters-on-1972442430-s1.txt
fo_counters,on,2082152039,2.0,3,3,3,6,6,6,true,complete_declared_budget,20,COMPLETED,21039210,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426412_Ev_fo_counters_fo_counters_orig_vh_c.1_s2082152039_SR10P_src20401224_e0023.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430068_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401224_e0023.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039210_pw70-ten-fo_counters-on-2082152039-s1.txt
rover,off,1239739722,4.0,4,4,4,5,5,5,true,complete_declared_budget,20,COMPLETED,21039211,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428373_Ev_rover_rover_orig_novh_c.1_s1239739722_SR10P_src20401251_e0053.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430100_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401251_e0053.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039211_pw70-ten-rover-off-1239739722-s1.txt
rover,off,1472491096,4.0,5,5,5,4,4,4,true,complete_declared_budget,20,COMPLETED,21039212,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428427_Ev_rover_rover_orig_novh_c.1_s1472491096_SR10P_src20401252_e0064.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430101_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401252_e0064.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039212_pw70-ten-rover-off-1472491096-s1.txt
rover,off,1510771779,4.0,5,6,6,6,6,6,true,complete_declared_budget,20,COMPLETED,21039213,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428661_Ev_rover_rover_orig_novh_c.1_s1510771779_SR10P_src20401255_e0048.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430104_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401255_e0048.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039213_pw70-ten-rover-off-1510771779-s1.txt
rover,off,1972442430,4.0,7,7,7,4,4,4,true,complete_declared_budget,20,COMPLETED,21039214,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450954_Ev_rover_rover_orig_novh_c.1_s1972442430_SR10P_src20401257_e0235.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451727_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20401257_e0235.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039214_pw70-ten-rover-off-1972442430-s1.txt
rover,off,2082152039,4.0,4,4,4,4,4,4,true,complete_declared_budget,20,COMPLETED,21039215,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428500_Ev_rover_rover_orig_novh_c.1_s2082152039_SR10P_src20401254_e0021.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430103_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401254_e0021.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039215_pw70-ten-rover-off-2082152039-s1.txt
rover,on,1239739722,4.0,5,5,5,4,4,4,true,complete_declared_budget,20,COMPLETED,21039216,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427527_Ev_rover_rover_orig_vh_c.1_s1239739722_SR10P_src20401241_e0112.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430090_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401241_e0112.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039216_pw70-ten-rover-on-1239739722-s1.txt
rover,on,1472491096,4.0,4,4,4,5,5,5,true,complete_declared_budget,20,COMPLETED,21039217,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427740_Ev_rover_rover_orig_vh_c.1_s1472491096_SR10P_src20401242_e0115.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430091_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401242_e0115.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039217_pw70-ten-rover-on-1472491096-s1.txt
rover,on,1510771779,4.0,4,4,4,4,5,5,true,complete_declared_budget,20,COMPLETED,21039218,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427853_Ev_rover_rover_orig_vh_c.1_s1510771779_SR10P_src20401245_e0090.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430094_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401245_e0090.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039218_pw70-ten-rover-on-1510771779-s1.txt
rover,on,1972442430,4.0,4,4,4,4,4,4,true,complete_declared_budget,20,COMPLETED,21039219,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428032_Ev_rover_rover_orig_vh_c.1_s1972442430_SR10P_src20401247_e0071.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430096_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401247_e0071.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039219_pw70-ten-rover-on-1972442430-s1.txt
rover,on,2082152039,4.0,4,4,4,4,4,4,true,complete_declared_budget,20,COMPLETED,21039220,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427835_Ev_rover_rover_orig_vh_c.1_s2082152039_SR10P_src20401244_e0077.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430093_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401244_e0077.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039220_pw70-ten-rover-on-2082152039-s1.txt
