domain,value_head,n,n_oom_terminal_declared_budget,policy_mean,pw70_mean_30m,delta_vs_policy_30m,ci95_low_vs_policy_30m,ci95_high_vs_policy_30m,raw_p_vs_policy_30m,delta_vs_fixed_30m,ci95_low_vs_fixed_30m,ci95_high_vs_fixed_30m,raw_p_vs_fixed_30m,pw70_mean_2h,delta_vs_policy_2h,ci95_low_vs_policy_2h,ci95_high_vs_policy_2h,raw_p_vs_policy_2h,delta_vs_fixed_2h,ci95_low_vs_fixed_2h,ci95_high_vs_fixed_2h,raw_p_vs_fixed_2h,pw70_mean_6h,delta_vs_policy_6h,ci95_low_vs_policy_6h,ci95_high_vs_policy_6h,raw_p_vs_policy_6h,delta_vs_fixed_6h,ci95_low_vs_fixed_6h,ci95_high_vs_fixed_6h,raw_p_vs_fixed_6h,status,row_level_provenance,holm_p_vs_policy_30m,holm_p_vs_fixed_30m,holm_p_vs_policy_2h,holm_p_vs_fixed_2h,holm_p_vs_policy_6h,holm_p_vs_fixed_6h
fo_counters,off,10,1,4.2,8.4,4.2,3.2582543018415215,5.141745698158479,0.001953125,0.9,-0.33665194780099694,2.136651947800997,0.1953125,8.4,4.2,3.2582543018415215,5.141745698158479,0.001953125,0.6,-0.7146439213718673,1.9146439213718671,0.421875,8.4,4.2,3.2582543018415215,5.141745698158479,0.001953125,0.6,-0.7146439213718673,1.9146439213718671,0.421875,complete_n10_including_one_oom_terminal_endpoint,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv,0.0078125,0.5859375,0.0078125,1.0,0.0078125,1.0
fo_counters,on,10,2,3.7,7.3,3.6,2.6952000000000003,4.5048,0.001953125,2.0,1.0462570576932169,2.953742942306783,0.0078125,7.3,3.6,2.6952000000000003,4.5048,0.001953125,1.6,0.5230725929757383,2.676927407024262,0.0234375,7.3,3.6,2.6952000000000003,4.5048,0.001953125,1.6,0.5230725929757383,2.676927407024262,0.0234375,complete_n10_including_one_oom_terminal_endpoint,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv,0.0078125,0.03125,0.0078125,0.09375,0.0078125,0.09375
rover,off,10,0,4.0,4.7,0.7,0.021399999999999975,1.3786,0.125,-0.1,-1.2897919313896864,1.0897919313896862,1.0,4.7,0.7,0.021399999999999975,1.3786,0.125,-0.3,-1.36897949465834,0.7689794946583399,0.6875,4.7,0.7,0.021399999999999975,1.3786,0.125,-0.3,-1.36897949465834,0.7689794946583399,0.6875,complete,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv,0.25,1.0,0.25,1.0,0.25,1.0
rover,on,10,0,3.8,4.5,0.7,-0.19532539336265886,1.5953253933626588,0.25,0.1,-0.8801999999999999,1.0801999999999998,1.0,4.6,0.8,-0.07930754574267129,1.6793075457426714,0.125,0.2,-0.8002940367711886,1.2002940367711885,0.828125,4.6,0.8,-0.07930754574267129,1.6793075457426714,0.125,0.2,-0.8002940367711886,1.2002940367711885,0.828125,complete,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv,0.25,1.0,0.25,1.0,0.25,1.0
