bytes|mtime|path
2810086794|2026-08-19T15:49:33.0877610380+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-08-11T11:21:39.723699/P[domain,fz_instance_2,fz_instance_3,fz_instance_...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[561600]-04901392-1c80318/run-info/stdout
2810086794|2026-08-19T15:49:33.0877610380+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-08-11T11:21:39.723699/runs/e40767c5d8086d83f27038fb9da591e3/stdout
2201271468|2026-06-14T00:27:57.0294495530+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:29:04.147096/runs/256da3ef478a6cbf3a60a308e172b795/stdout
2160209808|2026-06-14T00:28:03.1775556320+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:29:04.146972/runs/83e4faa1e2e337ec548df88829271784/stdout
2143569120|2026-06-14T00:28:03.1615553560+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:28:58.613222/runs/2e84b9a8f7aa401249ecf75970643e53/stdout
2114914979|2026-06-14T00:27:46.0612603100+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:30:09.490862/runs/737bca6c2fcd24ec37aeca0e898a8b89/stdout
2076197020|2026-06-14T00:28:01.4215253330+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:30:09.490758/runs/6ce13b424ea762c1c566761bf38ae25a/stdout
2015853331|2026-08-20T22:36:43.2333585060+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-08-11T11:21:39.723699/runs/e8e895e00fb351c095f596c99064fe68/stdout
1982288078|2026-06-11T23:11:11.0315783290+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-08T23:11:50.302414/runs/acfb64d9e2b2bf75351402dbd926e486/stdout
1699926862|2026-06-12T14:25:25.0620060670+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-09T14:26:12.417138/runs/190024f152e0f09e7098cd68ae8bdaf9/stdout
1689306749|2026-06-14T00:27:40.9411719700+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:30:09.490791/runs/09b2702eeecd4f88796d1aeaf47648bf/stdout
