role,seed,stage1_policy_score,historical_first_stage2_score,corrected_one_epoch_score,change_vs_historical,trust_region_retries,accepted_updates,cumulative_parameter_delta_l2,validation_success_rate,train_task_id,endpoint_task_id,training_audit_path,endpoint_log_path,interpretation
catastrophic_outlier,1972442430,20,10,20,10,11,60,1.086200329149722,1.0,21318362_0,21318364_0,/home/hersco/training_new_domains/2026-09-15/tpp_first_update_phase_c_prevention_lrbt/catastrophic_outlier/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-15/tpp_first_update_phase_c_prevention_lrbt/endpoint_21318364_0.txt,collapse_prevented_in_selected_seed
stable_control,2082152039,20,20,20,0,4,60,1.2085192108765,1.0,21318362_1,21318364_1,/home/hersco/training_new_domains/2026-09-15/tpp_first_update_phase_c_prevention_lrbt/stable_control/first_update_audit.jsonl,/home/hersco/training_new_domains/2026-09-15/tpp_first_update_phase_c_prevention_lrbt/endpoint_21318364_1.txt,perfect_coverage_preserved
