evaluation_job_id,source_training_job_id,domain,value_head,seed,epoch,successes,total,source_evaluation_log
20424500,20401178,block_grouping,on,2011206605,75,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424500_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10P_src20401178_e0075.txt
20424502,20401178,block_grouping,on,2011206605,26,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424502_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10P_src20401178_e0026.txt
20424505,20401179,block_grouping,on,1073581256,5,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424505_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0005.txt
20424507,20401179,block_grouping,on,1073581256,10,18.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424507_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0010.txt
20424510,20401179,block_grouping,on,1073581256,15,12.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424510_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0015.txt
20424512,20401179,block_grouping,on,1073581256,20,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424512_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0020.txt
20424515,20401179,block_grouping,on,1073581256,25,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424515_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0025.txt
20424517,20401179,block_grouping,on,1073581256,30,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424517_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0030.txt
20424520,20401179,block_grouping,on,1073581256,35,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424520_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0035.txt
20424522,20401179,block_grouping,on,1073581256,40,12.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424522_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0040.txt
20424525,20401179,block_grouping,on,1073581256,45,14.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424525_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0045.txt
20424527,20401179,block_grouping,on,1073581256,50,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424527_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0050.txt
20424529,20401179,block_grouping,on,1073581256,55,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424529_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0055.txt
20424532,20401179,block_grouping,on,1073581256,60,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424532_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0060.txt
20424533,20401179,block_grouping,on,1073581256,11,14.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt
20424534,20401180,block_grouping,on,1239739722,5,14.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424534_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0005.txt
20424535,20401180,block_grouping,on,1239739722,10,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424535_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0010.txt
20424536,20401180,block_grouping,on,1239739722,15,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424536_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0015.txt
20424537,20401180,block_grouping,on,1239739722,20,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424537_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0020.txt
20424538,20401180,block_grouping,on,1239739722,25,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424538_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0025.txt
20424539,20401180,block_grouping,on,1239739722,30,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424539_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0030.txt
20424540,20401180,block_grouping,on,1239739722,35,12.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424540_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0035.txt
20424541,20401180,block_grouping,on,1239739722,40,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424541_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0040.txt
20424542,20401180,block_grouping,on,1239739722,45,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424542_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0045.txt
20424543,20401180,block_grouping,on,1239739722,50,14.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424543_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0050.txt
20424544,20401180,block_grouping,on,1239739722,55,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424544_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0055.txt
20424545,20401180,block_grouping,on,1239739722,60,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424545_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0060.txt
20424546,20401180,block_grouping,on,1239739722,65,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424546_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0065.txt
20424547,20401180,block_grouping,on,1239739722,70,12.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424547_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0070.txt
20424548,20401180,block_grouping,on,1239739722,23,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424548_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0023.txt
20424549,20401181,block_grouping,on,1472491096,5,8.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424549_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0005.txt
20424550,20401181,block_grouping,on,1472491096,10,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424550_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0010.txt
20424551,20401181,block_grouping,on,1472491096,15,11.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424551_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0015.txt
20424552,20401181,block_grouping,on,1472491096,20,11.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424552_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0020.txt
20424553,20401181,block_grouping,on,1472491096,25,9.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424553_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0025.txt
20424554,20401181,block_grouping,on,1472491096,30,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424554_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0030.txt
20424555,20401181,block_grouping,on,1472491096,35,11.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424555_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0035.txt
20424556,20401181,block_grouping,on,1472491096,40,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424556_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0040.txt
20424557,20401181,block_grouping,on,1472491096,45,10.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424557_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0045.txt
20424558,20401181,block_grouping,on,1472491096,50,14.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424558_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0050.txt
20424559,20401181,block_grouping,on,1472491096,2,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424559_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0002.txt
