lineage_index,new_pair_index,domain,seed,total,source_training_job_id,source_policy_job_id,starting_policy_score,source_checkpoint,source_checkpoint_epoch,source_training_log,source_policy_log,optimizer_rng_base_seed,reuse_status,existing_pair_index
35,35,rover,1510771779,20,20401255,20428661,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633224/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-17cc32a/snapshots/snapshot_48_0.750",48,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401255_Tr_rover_rover_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428661_Ev_rover_rover_orig_novh_c.1_s1510771779_SR10P_src20401255_e0048.txt,890035,new_capture_and_pair,
36,36,rover,1963100312,20,20401248,20428037,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854128/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_25_0.375",25,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401248_Tr_rover_rover_orig_novh_c.1_s1963100312_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428037_Ev_rover_rover_orig_novh_c.1_s1963100312_SR10P_src20401248_e0025.txt,890036,new_capture_and_pair,
37,37,rover,1972442430,20,20401257,20450954,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633180/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-72aea46/snapshots/snapshot_235_0.500",235,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401257_Tr_rover_rover_orig_novh_c.1_s1972442430_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450954_Ev_rover_rover_orig_novh_c.1_s1972442430_SR10P_src20401257_e0235.txt,890037,new_capture_and_pair,
38,38,rover,2011206605,20,20401249,20428091,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854160/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_44_0.625",44,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401249_Tr_rover_rover_orig_novh_c.1_s2011206605_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428091_Ev_rover_rover_orig_novh_c.1_s2011206605_SR10P_src20401249_e0044.txt,890038,new_capture_and_pair,
39,39,rover,2082152039,20,20401254,20428500,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633221/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_21_0.250",21,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401254_Tr_rover_rover_orig_novh_c.1_s2082152039_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428500_Ev_rover_rover_orig_novh_c.1_s2082152039_SR10P_src20401254_e0021.txt,890039,new_capture_and_pair,
41,40,counters,923500475,59,20401266,20429173,59,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094323/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_12_1.000",12,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401266_Tr_counters_counters_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429173_Ev_counters_counters_orig_novh_c.1_s923500475_SR10P_src20401266_e0012.txt,890041,new_capture_and_pair,
42,41,counters,1073581256,59,20401260,20428778,59,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.106124/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_3_1.000",3,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401260_Tr_counters_counters_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428778_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10P_src20401260_e0003.txt,890042,new_capture_and_pair,
43,42,counters,1239739722,59,20401261,20428780,17,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.097949/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_5_1.000",5,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401261_Tr_counters_counters_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428780_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20401261_e0005.txt,890043,new_capture_and_pair,
44,43,counters,1472491096,59,20401262,20428811,38,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.101726/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_20_1.000",20,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401262_Tr_counters_counters_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428811_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10P_src20401262_e0020.txt,890044,new_capture_and_pair,
45,44,counters,1510771779,59,20401265,20429156,10,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094320/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_1_0.000",1,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401265_Tr_counters_counters_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429156_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20401265_e0001.txt,890045,new_capture_and_pair,
46,45,counters,1963100312,59,20401258,20428710,17,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.096138/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_101_1.000",101,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401258_Tr_counters_counters_orig_novh_c.1_s1963100312_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,890046,new_capture_and_pair,
47,46,counters,1972442430,59,20401267,20429194,12,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094310/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-72aea46/snapshots/snapshot_53_1.000",53,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401267_Tr_counters_counters_orig_novh_c.1_s1972442430_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429194_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10P_src20401267_e0053.txt,890047,new_capture_and_pair,
48,47,counters,2011206605,59,20401259,20428752,19,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.112993/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_37_1.000",37,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401259_Tr_counters_counters_orig_novh_c.1_s2011206605_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428752_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10P_src20401259_e0037.txt,890048,new_capture_and_pair,
