experiment_id,value_head,seed,policy_score,mcts_score,paired_change,policy_log,mcts_log,mcts_val_valid,mcts_val_invalid
MAIN-VAL,on,534933607,12,16,4,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523199_Ev_drone_drone_orig_vh_c.1_s534933607_SR10P_src20451797_e0086.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage2_mcts_eval/20559490_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20451797_e0086.txt,16,0
MAIN-TERM,on,923500475,6,15,9,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542054_Ev_drone_drone_orig_vh_c.1_s923500475_SR10TCP_src20489437_e0047.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559552_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCM_src20489437_e0047.txt,15,0
MAIN-TERM,on,1073581256,7,14,7,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542077_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10TCP_src20489438_e0094.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559553_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489438_e0094.txt,14,0
MAIN-TERM,on,1239739722,3,11,8,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542099_Ev_drone_drone_orig_vh_c.1_s1239739722_SR10TCP_src20489439_e0081.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559554_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10TCM_src20489439_e0081.txt,11,0
MAIN-TERM,on,1472491096,7,12,5,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542121_Ev_drone_drone_orig_vh_c.1_s1472491096_SR10TCP_src20489440_e0001.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559555_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489440_e0001.txt,12,0
MAIN-TERM,on,1510771779,7,11,4,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542143_Ev_drone_drone_orig_vh_c.1_s1510771779_SR10TCP_src20489441_e0031.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559557_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489441_e0031.txt,11,0
MAIN-TERM,on,1963100312,4,11,7,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542144_Ev_drone_drone_orig_vh_c.1_s1963100312_SR10TCP_src20489442_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559558_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489442_e0000.txt,11,0
MAIN-TERM,on,1972442430,5,13,8,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542189_Ev_drone_drone_orig_vh_c.1_s1972442430_SR10TCP_src20489443_e0054.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559559_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489443_e0054.txt,13,0
MAIN-TERM,on,2011206605,7,14,7,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542211_Ev_drone_drone_orig_vh_c.1_s2011206605_SR10TCP_src20489444_e0092.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559560_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCM_src20489444_e0092.txt,14,0
MAIN-TERM,on,2082152039,9,14,5,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542233_Ev_drone_drone_orig_vh_c.1_s2082152039_SR10TCP_src20489445_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559561_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10TCM_src20489445_e0002.txt,14,0
