record_type,experiment_id,domain,value_head,comparison,stage,endpoint,n,mean_before,mean_after,mean_difference,ci95_low,ci95_high,raw_p,holm_p,significant_0_05,source_results_file
endpoint,MAIN-TERM,block_grouping,off,,stage1,final,10,,16.3,,14.949097945815463,17.650902054184538,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,block_grouping,off,,stage2,final,10,,16.2,,15.258254301841522,17.141745698158477,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,block_grouping,off,,stage2,validation_selected,10,,16.3,,15.343281253450106,17.256718746549893,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,block_grouping,on,,stage1,final,10,,15.0,,13.569385586539825,16.430614413460177,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,block_grouping,on,,stage2,final,10,,11.5,,9.982604270468643,13.017395729531357,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,block_grouping,on,,stage2,validation_selected,10,,11.6,,10.634408864995127,12.565591135004873,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,counters,off,,stage1,final,10,,21.5,,9.118548574581412,33.88145142541859,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,counters,off,,stage2,final,10,,29.8,,18.4158484128153,41.1841515871847,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,counters,off,,stage2,validation_selected,10,,37.9,,26.07180899545497,49.728191004545025,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,counters,on,,stage1,final,10,,17.2,,7.9114054798371125,26.488594520162884,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,counters,on,,stage2,final,10,,15.7,,4.131320232628099,27.2686797673719,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,counters,on,,stage2,validation_selected,10,,16.8,,4.365627826062148,29.234372173937853,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,drone,off,,stage1,final,10,,7.4,,5.516508603683043,9.283491396316958,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,drone,off,,stage2,final,10,,6.8,,4.9904,8.6096,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,drone,off,,stage2,validation_selected,10,,7.8,,5.8396,9.760399999999999,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,drone,on,,stage1,final,10,,7.2,,5.625601778456289,8.774398221543711,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,drone,on,,stage2,final,10,,5.9,,4.6182,7.181800000000001,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,drone,on,,stage2,validation_selected,10,,6.5,,4.982604270468643,8.017395729531357,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,fo_counters,off,,stage1,final,10,,3.6,,2.9968000000000004,4.2032,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,fo_counters,off,,stage2,final,10,,3.0,,2.3256018979860635,3.6743981020139365,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,fo_counters,off,,stage2,validation_selected,10,,2.8,,2.2357580660744896,3.36424193392551,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,fo_counters,on,,stage1,final,10,,3.3,,2.4706,4.1293999999999995,,,,experiment_tracking/policy_endpoint_results.csv
endpoint,MAIN-TERM,fo_counters,on,,stage2,final,10,,3.6,,3.099852981614406,4.100147018385594,,,,experiment_tracking/policy_endpoint_results.csv
