experiment_id,domain,value_head,seed,source_training_job_id,selected_epoch,policy_score,policy_log,candidate_mcts_log_count,candidate_mcts_logs,audit_state
MAIN-TERM,block_grouping,on,1073581256,20489397,6,12,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541115_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10TCP_src20489397_e0006.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559509_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489397_e0006.txt,candidate_logs_found
MAIN-TERM,block_grouping,on,1239739722,20489398,13,11,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541152_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10TCP_src20489398_e0013.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559510_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10TCM_src20489398_e0013.txt,candidate_logs_found
MAIN-TERM,block_grouping,on,1472491096,20489399,16,12,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541174_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10TCP_src20489399_e0016.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559511_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489399_e0016.txt,candidate_logs_found
MAIN-TERM,block_grouping,on,1510771779,20489400,2,15,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541196_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10TCP_src20489400_e0002.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559512_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489400_e0002.txt,candidate_logs_found
MAIN-TERM,block_grouping,on,1963100312,20489401,5,11,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541198_Ev_block_grouping_block_grouping_orig_vh_c.1_s1963100312_SR10TCP_src20489401_e0005.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559513_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489401_e0005.txt,candidate_logs_found
MAIN-TERM,block_grouping,on,1972442430,20489402,54,11,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541343_Ev_block_grouping_block_grouping_orig_vh_c.1_s1972442430_SR10TCP_src20489402_e0054.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559514_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489402_e0054.txt,candidate_logs_found
MAIN-TERM,block_grouping,on,2011206605,20489403,6,11,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541365_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10TCP_src20489403_e0006.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559515_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCM_src20489403_e0006.txt,candidate_logs_found
MAIN-TERM,block_grouping,on,2082152039,20489404,62,11,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541387_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10TCP_src20489404_e0062.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,534933607,20489405,36,6,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541388_Ev_counters_counters_orig_novh_c.1_s534933607_SR10TCP_src20489405_e0036.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,923500475,20489406,24,59,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541389_Ev_counters_counters_orig_novh_c.1_s923500475_SR10TCP_src20489406_e0024.txt,0,,no_candidate_log_found
