experiment,job_id,job_name,state,exit_code,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,explicit_instance_timeouts,latest_final_success,latest_final_total,val_valid,val_invalid,source_evaluation_log,source_completion_ledgers
Rover interrupted-instance MCTS recovery,21107687_1,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:35,2026-09-08T00:28:32,2026-09-08T06:30:07,ise-cpu256-01,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_1.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_2,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:34,2026-09-08T00:28:32,2026-09-08T06:30:06,ise-cpu256-01,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_2.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_3,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:45,2026-09-08T00:28:32,2026-09-08T06:30:17,ise-cpu256-04,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_3.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_4,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:27,2026-09-08T00:28:32,2026-09-08T06:29:59,ise-cpu256-07,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_4.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_5,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:14,2026-09-08T00:28:32,2026-09-08T06:29:46,ise-cpu256-08,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_5.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_6,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:12,2026-09-08T00:28:32,2026-09-08T06:29:44,ise-cpu256-09,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_6.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_8,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:37,2026-09-08T00:28:32,2026-09-08T06:30:09,ise-cpu256-14,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_8.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_9,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:43,2026-09-08T00:28:32,2026-09-08T06:30:15,ise-cpu256-24,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_9.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_10,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:00:58,2026-09-08T00:28:32,2026-09-08T06:29:30,ise-cpu256-25,4,160G,2,0,0,0,0,2,0.0,2.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_10.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_11,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:38,2026-09-08T00:28:32,2026-09-08T06:30:10,ise-cpu256-31,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_11.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_12,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:40,2026-09-08T00:28:32,2026-09-08T06:30:12,ise-cpu256-31,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_12.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_13,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:02:36,2026-09-08T00:28:32,2026-09-08T06:31:08,ise-cpu256-30,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_13.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_14,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:02:33,2026-09-08T00:28:32,2026-09-08T06:31:05,ise-cpu256-30,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_14.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_15,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:00:58,2026-09-08T00:29:04,2026-09-08T06:30:02,ise-cpu256-07,4,160G,2,0,0,0,0,2,0.0,2.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_15.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_16,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:57,2026-09-08T00:29:51,2026-09-08T06:31:48,ise-cpu256-02,4,160G,2,0,0,0,0,2,0.0,2.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_16.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_17,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:52,2026-09-08T00:29:51,2026-09-08T06:31:43,ise-cpu256-02,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_17.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_18,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:50,2026-09-08T00:29:55,2026-09-08T06:31:45,ise-cpu256-17,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_18.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_19,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:01:32,2026-09-08T00:30:22,2026-09-08T06:31:54,ise-cpu256-28,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_19.sbatch.out,
Rover interrupted-instance MCTS recovery,21107687_20,ROVER_INTERRUPTION_RECOVERY,COMPLETED,0:0,06:02:32,2026-09-08T00:31:08,2026-09-08T06:33:40,ise-cpu128-13,4,160G,1,0,0,0,0,1,0.0,1.0,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_20.sbatch.out,
Rover interrupted-instance MCTS recovery follow-up,21114859_0,ROVER_INTERRUPTION_RECOVERY_FOLLOWUP,FAILED,2:0,00:00:00,2026-09-08T10:10:48,2026-09-08T10:10:48,ise-cpu256-13,2,160G,0,0,0,0,0,0,,,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery_followup/21114859_0.sbatch.out,
