experiment_id,value_head,n,policy_mean,mcts_mean,paired_change,ci_low,ci_high,exact_signflip_p
MAIN-TERM,off,10,7.800,9.900,2.100,0.652,3.548,0.019531
MAIN-TERM,on,10,6.500,13.100,6.600,5.472,7.728,0.001953
MAIN-VAL,off,3,11.000,10.000,-1.000,-7.573,5.573,1.000000
MAIN-VAL,on,1,12.000,16.000,4.000,4.000,4.000,1.000000
