csv_path,rows,classification,result_like,provenance_fields,provenance_status,parse_state,sha256
experiment_tracking/preserve3_terminal_led/preserve3_terminal_zenotravel_off_results.csv,214,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,47b4367a28da1b5627b0ba1ad80b4f8e08896992aabe1f0ea68e9c19e8d7a309
experiment_tracking/preserve3_terminal_led/preserve3_terminal_zenotravel_on_results.csv,218,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,54aa8446f5d9bd8c8aab5ab5be046a88f32529318dfcf1ee8bfc9cbdea2e24d9
experiment_tracking/preserve3_terminal_led/terminal_led_selected_seed_results_20260903.csv,60,historical_or_supporting,1,stage1_checkpoint;stage2_checkpoint;stage1_training_log;stage1_evaluation_log;stage2_training_job_id;stage2_evaluation_job_id;stage2_evaluation_log,inline_or_pointer_present,ok,9b9848caba60ed8dcc1f03bf9f7b6476a86cc445a671233bcf038fefc27111dc
experiment_tracking/preserve3_terminal_led/terminal_led_selected_summary_20260903.csv,6,historical_or_supporting,1,,legacy_gap_not_primary,ok,e3875205cc2ed11df60fd5e38a25f5f4c944398dd6705230cda34212ced00bab
experiment_tracking/preserve3_terminal_led/terminal_stage2_tpp_off_policy_results_20260904.csv,213,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,f48f9e5e59f8b0f9bde555414c91e1e24c7c15c3424687a4b136892e54c4ef14
experiment_tracking/preserve3_terminal_led/terminal_stage2_tpp_off_policy_retry2_results_20260904.csv,2,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,8e2a64584fc7c1c84a0fb46443adefafdb16286d35e11b8355a28c576cb0144a
experiment_tracking/preserve3_terminal_led/terminal_stage2_tpp_off_policy_retry_results_20260904.csv,2,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,112398d6678c3c5c67bd2388fa56c63a9b928731cfd884d78ea60dfd8ecfa303
experiment_tracking/preserve3_terminal_led/tpp_off_curve_node_retry_results_20260904.csv,37,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,583b15d02c9507d55deab8dd6570e7d5827952a92303b693c2b8ac429e30a074
experiment_tracking/preserve3_terminal_led/tpp_off_policy_retry2_results_latest_20260904.csv,2,current_canonical,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,2c4dc3fca88643ab675da56d5203c006a0d63fe0b91523eb1d4bfc845cc3bb73
experiment_tracking/preserve3_terminal_led/tpp_on_policy_node_retry2_results_20260904.csv,4,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,55cb7ab33f6c3def53b7561d85096ece39e3c60338a1da990e3ea50cb6f70fc2
experiment_tracking/preserve3_terminal_led/tpp_on_policy_node_retry3_results_20260904.csv,3,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,9d6a71e306415be58f6cf486e427598d3676d33f22f43671aa0ea8ddbc12db2c
experiment_tracking/preserve3_terminal_led/tpp_on_policy_node_retry_results_20260904.csv,43,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,53b674259746f945d12a63f0fec79dd7ab23d9b6f8b5e296b99b5e9c10b6c95b
experiment_tracking/preserve3_terminal_led/tpp_on_policy_ready_20260904.csv,214,historical_or_supporting,0,manifest_id;source_checkpoint_ref;source_training_job_id;training_log,inline_or_pointer_present,ok,548ab925c9da9eed9c05f9b7f51b03d0b3e1911b0ee71ce5d779f1520628e9c6
experiment_tracking/preserve3_terminal_led/tpp_on_policy_results_latest_20260904.csv,214,current_canonical,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,150ad56e37221c482e65712bf0383047142ebf35e1c6ac066dd70ba88404b03d
experiment_tracking/preserve3_terminal_led/tpp_on_policy_results_partial_20260904.csv,214,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,a9966c773aa29829440f31f85be52049a99cc806a1cdc933ca2af7728c18d1cf
experiment_tracking/pw_fixed_five_seed_cutoff_audit_20260906.csv,20,historical_or_supporting,1,job_id;job_name;logged_timeouts;log_path;completion_record_path,inline_or_pointer_present,ok,62234ca5aa6ed4e265d59b532425a93ce41b19e407d5d476e436539b654ea774
experiment_tracking/quota_recovery_20260826/anchor_policy_all_terminal_continuations_20260827.csv,238,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,89ec8b592743a14f52a62711b622ce8754c206b62a2d2982895890b98bb0f549
experiment_tracking/quota_recovery_20260826/anchor_policy_completed_continuations_20260827.csv,18,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,1d165e620ca226381176c2c1beccc735e273bb9495c8b8435e39abb86da2aa38
experiment_tracking/result_csv_provenance_index_latest.csv,373,current_canonical,0,csv_path;provenance_fields;provenance_status,inline_or_pointer_present,ok,3964d709677cac7d3b4444617072527ff4f2bf9e61d9c4f1f13a424260ac5ca8
experiment_tracking/result_provenance_audit_20260902.csv,168,historical_or_supporting,1,direct_provenance_columns;provenance_status,inline_or_pointer_present,ok,0e63246c39e9081dcdf19d42c54532d729860b6e3a648ded7182983ba8bc7b2f
experiment_tracking/result_provenance_audit_latest.csv,168,current_canonical,1,direct_provenance_columns;provenance_status,inline_or_pointer_present,ok,0e63246c39e9081dcdf19d42c54532d729860b6e3a648ded7182983ba8bc7b2f
experiment_tracking/result_provenance_index_20260902.csv,84,historical_or_supporting,0,row_level_log_columns_or_companion;provenance_status,inline_or_pointer_present,ok,b86ac210a6aa1635b793f771c161d0593adbe3b303df01a281a06701e88e8310
experiment_tracking/result_provenance_index_latest.csv,80,current_canonical,0,row_level_log_columns_or_companion;provenance_status,inline_or_pointer_present,ok,9a3bd65bc606bdce6239e68c11cece1477b1ea24d8bcf72376d18e567db91b79
