experiment_id,comparison,domain,value_head,seed,policy_score,mcts_score,difference,mcts_state,width,iterations,puct,estimator,instance_timeouts,unprocessed_after_job_end,policy_log,mcts_log,validation_status
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,2011206605,17.0,17.0,0.0,COMPLETED,5,20,0.1,0.5,1,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424502_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10P_src20401178_e0026.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430031_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401178_e0026.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,1073581256,14.0,15.0,1.0,COMPLETED,5,20,0.1,0.5,2,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,1239739722,13.0,14.0,1.0,COMPLETED,5,20,0.1,0.5,2,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424548_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0023.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430033_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401180_e0023.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,1472491096,17.0,17.0,0.0,COMPLETED,5,20,0.1,0.5,1,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424559_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0002.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430034_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401181_e0002.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,534933607,17.0,16.0,-1.0,COMPLETED,5,20,0.1,0.5,2,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424573_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0019.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430035_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401182_e0019.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,2082152039,15.0,16.0,1.0,COMPLETED,5,20,0.1,0.5,2,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424586_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430036_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401183_e0011.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,1510771779,17.0,16.0,-1.0,COMPLETED,5,20,0.1,0.5,2,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424722_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0088.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430037_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401184_e0088.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,923500475,17.0,18.0,1.0,COMPLETED,5,20,0.1,0.5,0,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424731_Ev_block_grouping_block_grouping_orig_vh_c.1_s923500475_SR10P_src20401185_e0020.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430038_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401185_e0020.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,block_grouping,on,1972442430,15.0,16.0,1.0,COMPLETED,5,20,0.1,0.5,0,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424758_Ev_block_grouping_block_grouping_orig_vh_c.1_s1972442430_SR10P_src20401186_e0005.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430039_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401186_e0005.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,1963100312,17.0,23.0,6.0,OUT_OF_MEMORY,20,70,0.1,0.5,17,19,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,posthoc_VAL_valid
