experiment_id,branch,value_head,matched_n,policy_mean,mcts_30m_mean,mcts_2h_mean,mcts_6h_mean,row_level_companion
MCTS-LEGACY-FO,terminal_led,off,4,3.25,6.25,6.25,6.25,experiment_tracking/fo_terminal_stage2_mcts_terminal_results_20260903.csv
MCTS-LEGACY-FO,terminal_led,on,3,4.333333333333333,5.0,5.0,5.0,experiment_tracking/fo_terminal_stage2_mcts_terminal_results_20260903.csv
