snapshot_time,experiment_id,job_id,state,reason,elapsed,time_limit,cpus,memory,array_tasks,job_name
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755783,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s1963100312_K0_P3TERMS2A0p3_src20523066
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755782,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s1510771779_K0_P3TERMS2A0p3_src20523083
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755781,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A0p3_src20523077
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755780,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A0p3_src20523074
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755779,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s1073581256_K0_P3TERMS2A0p3_src20523072
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755778,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s923500475_K0_P3TERMS2A0p3_src20523084
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755777,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755776,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s2082152039_K0_P3TERMS2A30_src20523093
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755773,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s2011206605_K0_P3TERMS2A30_src20523088
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755772,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1972442430_K0_P3TERMS2A30_src20523096
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755771,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1963100312_K0_P3TERMS2A30_src20523086
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755770,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1510771779_K0_P3TERMS2A30_src20523094
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755769,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1472491096_K0_P3TERMS2A30_src20523091
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755768,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A30_src20523090
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755766,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s1073581256_K0_P3TERMS2A30_src20523089
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755765,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s923500475_K0_P3TERMS2A30_src20523095
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755764,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_zenotravel_zenotravel_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20523092
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755763,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2082152039_K0_P3TERMS2A10_src20523023
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755762,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_P3TERMS2A10_src20523008
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755761,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1972442430_K0_P3TERMS2A10_src20523032
