experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,stage2-gap-validation-block_grouping-off-2011206605-w5_i20-node-retry1,block_grouping,stage2,off,2011206605,pw_kmin3,20,,,20943868,20430355,0,stage2_validation_selected_policy_vs_mcts_branch_completion,RUNNING,00:07:05,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943868_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430355_e0000.txt
,stage2-gap-validation-block_grouping-off-2082152039-w5_i20-node-retry1,block_grouping,stage2,off,2082152039,pw_kmin3,20,,,20943871,20430361,2,stage2_validation_selected_policy_vs_mcts_branch_completion,RUNNING,00:07:05,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943871_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430361_e0002.txt
,stage2-gap-validation-block_grouping-on-1073581256-w5_i20-node-retry1,block_grouping,stage2,on,1073581256,pw_kmin3,20,,,20943873,20430346,19,stage2_validation_selected_policy_vs_mcts_branch_completion,FAILED,00:01:27,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943873_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430346_e0019.txt
,stage2-gap-validation-block_grouping-on-1472491096-w5_i20-node-retry1,block_grouping,stage2,on,1472491096,pw_kmin3,20,,,20943875,20430348,69,stage2_validation_selected_policy_vs_mcts_branch_completion,RUNNING,00:01:06,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943875_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430348_e0069.txt
,stage2-gap-validation-fo_counters-off-923500475-w20_i70-node-retry1,fo_counters,stage2,off,923500475,pw_kmin3,70,,,20943878,20430395,9,stage2_validation_selected_policy_vs_mcts_branch_completion,RUNNING,00:01:06,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943878_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009.txt
,stage2-gap-validation-fo_counters-off-1510771779-w20_i70-node-retry1,fo_counters,stage2,off,1510771779,pw_kmin3,70,,,20943880,20430394,6,stage2_validation_selected_policy_vs_mcts_branch_completion,PENDING,00:00:00,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943880_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430394_e0006.txt
,stage2-gap-validation-fo_counters-off-1972442430-w20_i70-node-retry1,fo_counters,stage2,off,1972442430,pw_kmin3,70,,,20943882,20430396,15,stage2_validation_selected_policy_vs_mcts_branch_completion,PENDING,00:00:00,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943882_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20430396_e0015.txt
,stage2-gap-validation-fo_counters-off-2082152039-w20_i70-node-retry1,fo_counters,stage2,off,2082152039,pw_kmin3,70,,,20943885,20430393,17,stage2_validation_selected_policy_vs_mcts_branch_completion,PENDING,00:00:00,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943885_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430393_e0017.txt
,stage2-gap-validation-fo_counters-on-2011206605-w20_i70-node-retry1,fo_counters,stage2,on,2011206605,pw_kmin3,70,,,20943887,20430378,46,stage2_validation_selected_policy_vs_mcts_branch_completion,PENDING,00:00:00,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943887_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430378_e0046.txt
