experiment_id,comparison,domain,value_head,seed,before_score,after_score,difference,before_training_job,before_evaluation_job,before_log,after_training_job,after_evaluation_job,after_log
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,1073581256,14.0,13.0,-1.0,20401179,20424533,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt,20430346,20487861,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20487861_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20430346_e0019.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,1239739722,13.0,16.0,3.0,20401180,20424548,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424548_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0023.txt,20430347,20522994,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20522994_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20430347_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,1472491096,17.0,16.0,-1.0,20401181,20424559,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424559_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0002.txt,20430348,20487883,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20487883_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20430348_e0069.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,1510771779,17.0,14.0,-3.0,20401184,20424722,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424722_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0088.txt,20430351,20523132,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523132_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20430351_e0041.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,1963100312,17.0,11.0,-6.0,20401177,20424464,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424464_Ev_block_grouping_block_grouping_orig_vh_c.1_s1963100312_SR10P_src20401177_e0004.txt,20430344,20522958,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20522958_Ev_block_grouping_block_grouping_orig_vh_c.1_s1963100312_SR10P_src20430344_e0023.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,1972442430,15.0,12.0,-3.0,20401186,20424758,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424758_Ev_block_grouping_block_grouping_orig_vh_c.1_s1972442430_SR10P_src20401186_e0005.txt,20430353,20523176,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523176_Ev_block_grouping_block_grouping_orig_vh_c.1_s1972442430_SR10P_src20430353_e0009.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,2011206605,17.0,12.0,-5.0,20401178,20424502,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424502_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10P_src20401178_e0026.txt,20430345,20522993,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20522993_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10P_src20430345_e0008.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,2082152039,15.0,12.0,-3.0,20401183,20424586,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424586_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0011.txt,20430350,20523110,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523110_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20430350_e0034.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,534933607,59.0,6.0,-53.0,20401263,20429101,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,20430422,20465165,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465165_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20430422_e0008.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,923500475,59.0,32.0,-27.0,20401266,20429173,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429173_Ev_counters_counters_orig_novh_c.1_s923500475_SR10P_src20401266_e0012.txt,20430425,20465209,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465209_Ev_counters_counters_orig_novh_c.1_s923500475_SR10P_src20430425_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,1073581256,59.0,53.0,-6.0,20401260,20428778,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428778_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10P_src20401260_e0003.txt,20430419,20451602,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20451602_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10P_src20430419_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,1239739722,17.0,21.0,4.0,20401261,20428780,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428780_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20401261_e0005.txt,20430420,20465054,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465054_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20430420_e0005.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,1472491096,38.0,18.0,-20.0,20401262,20428811,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428811_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10P_src20401262_e0020.txt,20430421,20465075,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465075_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10P_src20430421_e0005.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,1510771779,10.0,45.0,35.0,20401265,20429156,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429156_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20401265_e0001.txt,20430424,20465208,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465208_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20430424_e0037.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,1963100312,17.0,59.0,42.0,20401258,20428710,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,20430416,20451601,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20451601_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20430416_e0033.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,1972442430,12.0,37.0,25.0,20401267,20429194,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429194_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10P_src20401267_e0053.txt,20430426,20465251,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465251_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10P_src20430426_e0082.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,2011206605,19.0,39.0,20.0,20401259,20428752,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428752_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10P_src20401259_e0037.txt,20430417,20465052,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465052_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10P_src20430417_e0012.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,off,2082152039,35.0,59.0,24.0,20401264,20429130,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,20430423,20465166,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465166_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20430423_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,534933607,59.0,59.0,0.0,20401273,20429771,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429771_Ev_counters_counters_orig_vh_c.1_s534933607_SR10P_src20401273_e0011.txt,20430432,20465470,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465470_Ev_counters_counters_orig_vh_c.1_s534933607_SR10P_src20430432_e0002.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,923500475,3.0,38.0,35.0,20401276,20429883,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429883_Ev_counters_counters_orig_vh_c.1_s923500475_SR10P_src20401276_e0002.txt,20430435,20465539,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465539_Ev_counters_counters_orig_vh_c.1_s923500475_SR10P_src20430435_e0001.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,1073581256,59.0,55.0,-4.0,20401270,20429518,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429518_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10P_src20401270_e0042.txt,20430429,20465374,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465374_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10P_src20430429_e0016.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,1239739722,8.0,14.0,6.0,20401271,20429535,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429535_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10P_src20401271_e0080.txt,20430430,20465397,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465397_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10P_src20430430_e0028.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,1472491096,20.0,3.0,-17.0,20401272,20429559,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429559_Ev_counters_counters_orig_vh_c.1_s1472491096_SR10P_src20401272_e0018.txt,20430431,20465398,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465398_Ev_counters_counters_orig_vh_c.1_s1472491096_SR10P_src20430431_e0000.txt
