job_id,job_name,state,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,ordinary_unsolved,logged_timeouts,latest_eval_final_success,latest_eval_final_total,val_valid,val_invalid,log_path,completion_record_path
20430097,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025,OUT_OF_MEMORY,1-06:36:49,2026-08-22T04:14:09,2026-08-23T10:50:58,ise-cpu256-04,6,120G,5,4,5,5,5,0,14,5.0,20,5,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430097_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430097.eval_completed.jsonl
20430098,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044,OUT_OF_MEMORY,1-06:02:07,2026-08-22T04:15:51,2026-08-23T10:17:58,ise-cpu256-06,6,120G,6,4,4,4,4,2,13,4.0,20,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430098_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430098.eval_completed.jsonl
20430099,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040,OUT_OF_MEMORY,21:42:53,2026-08-22T04:18:32,2026-08-23T02:01:25,ise-cpu256-02,6,120G,10,6,6,6,6,4,9,6.0,20,6,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430099.eval_completed.jsonl
20430102,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401253_e0124,OUT_OF_MEMORY,1-06:08:14,2026-08-22T06:04:11,2026-08-23T12:12:25,ise-cpu-intl-03,6,120G,5,4,4,4,4,1,15,4.0,20,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430102_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401253_e0124.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430102.eval_completed.jsonl
20430107,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401256_e0020,OUT_OF_MEMORY,1-06:02:41,2026-08-22T08:05:00,2026-08-23T14:07:41,ise-cpu256-09,6,120G,7,5,5,5,5,2,13,5.0,20,5,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430107_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401256_e0020.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430107.eval_completed.jsonl
20430087,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401238_e0070,COMPLETED,1-06:04:11,2026-08-21T23:31:27,2026-08-23T05:35:38,cs-cpu-10,6,120G,7,4,4,4,4,3,13,4.0,20,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430087_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401238_e0070.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430087.eval_completed.jsonl
20430088,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401239_e0095,COMPLETED,1-06:03:00,2026-08-21T23:31:58,2026-08-23T05:34:58,ise-cpu128-08,6,120G,7,5,5,5,5,2,13,5.0,20,5,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430088_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401239_e0095.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430088.eval_completed.jsonl
20430089,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401240_e0143,OUT_OF_MEMORY,1-06:02:34,2026-08-21T23:34:44,2026-08-23T05:37:18,ise-cpu-intl-07,6,120G,7,6,6,6,6,1,13,6.0,20,6,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430089_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430089.eval_completed.jsonl
20430092,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401243_e0017,OUT_OF_MEMORY,1-02:32:53,2026-08-22T00:13:58,2026-08-23T02:46:51,cs-cpu-10,6,120G,8,4,4,4,4,4,12,4.0,20,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430092_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401243_e0017.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430092.eval_completed.jsonl
20430095,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401246_e0004,COMPLETED,1-06:04:55,2026-08-22T01:05:51,2026-08-23T07:10:46,cs-cpu-09,6,120G,7,4,4,4,4,3,13,4.0,20,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430095_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401246_e0004.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430095.eval_completed.jsonl
