domain,value_head,n,n_censored_allocations,policy_mean,mcts_mean_30m,delta_30m,ci95_low_30m,ci95_high_30m,raw_p_30m,mcts_mean_2h,delta_2h,ci95_low_2h,ci95_high_2h,raw_p_2h,mcts_mean_6h,delta_6h,ci95_low_6h,ci95_high_6h,raw_p_6h,status,row_level_provenance,holm_p_within_counters_30m,holm_p_within_counters_2h,holm_p_within_counters_6h
counters,off,10,6,37.9,34.9,-3.0,-7.536549261277783,1.5365492612777834,0.2265625,37.8,-0.1,-1.587120452418028,1.3871204524180278,1.0,38.4,0.5,-0.3429976275174207,1.3429976275174207,0.3125,terminal_declared_budget_with_censoring,experiment_tracking/counters_terminal_stage2_narrow_seed_results_latest.csv,0.453125,1.0,0.3125
counters,on,10,5,16.8,19.9,3.1,-3.433748268796403,9.633748268796403,0.33984375,22.0,5.2,1.0181879334432073,9.381812066556794,0.01953125,22.4,5.6,1.842083364415863,9.357916635584136,0.0078125,terminal_declared_budget_with_censoring,experiment_tracking/counters_terminal_stage2_narrow_seed_results_latest.csv,0.453125,0.0390625,0.015625
