experiment_id,stage2_branch,domain,value_head,seed,search,policy_score,mcts_30m,mcts_2h,mcts_6h,classified_instances,evidence_status,mcts_job_id,source_policy_log,source_mcts_log,source_completion_ledger
MAIN-TERM,terminal_led,block_grouping,on,534933607,narrow5/20,12.0,11,12,12,18,complete_declared_budget,20559507,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523471_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10TCP_src20489395_e0010.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559507_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489395_e0010.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559507.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,923500475,narrow5/20,10.0,8,8,9,16,complete_declared_budget,20559508,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541113_Ev_block_grouping_block_grouping_orig_vh_c.1_s923500475_SR10TCP_src20489396_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559508_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCM_src20489396_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559508.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,1073581256,narrow5/20,12.0,11,12,12,18,complete_declared_budget,20559509,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541115_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10TCP_src20489397_e0006.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559509_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489397_e0006.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559509.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,1239739722,narrow5/20,11.0,8,8,11,18,complete_declared_budget,20559510,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541152_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10TCP_src20489398_e0013.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559510_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10TCM_src20489398_e0013.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559510.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,1472491096,narrow5/20,12.0,11,11,11,15,complete_declared_budget,20559511,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541174_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10TCP_src20489399_e0016.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559511_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489399_e0016.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559511.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,1510771779,narrow5/20,15.0,11,12,12,14,complete_declared_budget,20559512,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541196_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10TCP_src20489400_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559512_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489400_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559512.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,1963100312,narrow5/20,11.0,8,8,8,11,complete_declared_budget,20559513,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541198_Ev_block_grouping_block_grouping_orig_vh_c.1_s1963100312_SR10TCP_src20489401_e0005.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559513_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489401_e0005.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559513.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,1972442430,narrow5/20,11.0,8,8,8,12,complete_declared_budget,20559514,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541343_Ev_block_grouping_block_grouping_orig_vh_c.1_s1972442430_SR10TCP_src20489402_e0054.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559514_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489402_e0054.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559514.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,2011206605,narrow5/20,11.0,8,8,11,18,complete_declared_budget,20559515,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541365_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10TCP_src20489403_e0006.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559515_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCM_src20489403_e0006.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559515.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,on,2082152039,narrow5/20,11.0,8,8,11,18,complete_declared_budget,20891018,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541387_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10TCP_src20489404_e0062.txt,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891018_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489404_e0062.txt,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/.resume_state/20891018.eval_completed.jsonl
