branch,domain,value_head,seed,stage1_endpoint,stage1_epoch,stage1_score,stage2_epoch,stage2_epoch0_score,change_after_first_update,total,stage1_training_job_id,stage2_training_job_id,epoch0_evaluation_job_id,source_stage1_training_log,source_stage1_evaluation_log,source_stage2_training_log,source_epoch0_evaluation_log
MAIN-TERM,block_grouping,on,534933607,final,69,12,0,10,-2,20,20401182,20489395,20523469,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401182_Tr_block_grouping_block_grouping_orig_vh_c.1_s534933607_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489188_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10TCP_src20401182_e0069.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489395_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCT_src20401182_e0069.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523469_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10TCP_src20489395_e0000.txt
MAIN-TERM,block_grouping,on,923500475,final,70,17,0,9,-8,20,20401185,20489396,20523568,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401185_Tr_block_grouping_block_grouping_orig_vh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424756_Ev_block_grouping_block_grouping_orig_vh_c.1_s923500475_SR10P_src20401185_e0070.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489396_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCT_src20401185_e0070.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523568_Ev_block_grouping_block_grouping_orig_vh_c.1_s923500475_SR10TCP_src20489396_e0000.txt
MAIN-TERM,block_grouping,on,1073581256,final,61,15,0,10,-5,20,20401179,20489397,20523589,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401179_Tr_block_grouping_block_grouping_orig_vh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489189_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10TCP_src20401179_e0061.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489397_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCT_src20401179_e0061.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523589_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10TCP_src20489397_e0000.txt
MAIN-TERM,block_grouping,on,1239739722,final,73,17,0,9,-8,20,20401180,20489398,20541117,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401180_Tr_block_grouping_block_grouping_orig_vh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489190_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10TCP_src20401180_e0073.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489398_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10TCT_src20401180_e0073.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541117_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10TCP_src20489398_e0000.txt
MAIN-TERM,block_grouping,on,1472491096,final,52,12,0,13,1,20,20401181,20489399,20541153,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401181_Tr_block_grouping_block_grouping_orig_vh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489191_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10TCP_src20401181_e0052.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489399_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCT_src20401181_e0052.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541153_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10TCP_src20489399_e0000.txt
MAIN-TERM,block_grouping,on,1510771779,final,138,16,0,11,-5,20,20401184,20489400,20541175,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401184_Tr_block_grouping_block_grouping_orig_vh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489192_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10TCP_src20401184_e0138.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489400_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCT_src20401184_e0138.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541175_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10TCP_src20489400_e0000.txt
MAIN-TERM,block_grouping,on,1963100312,final,54,13,0,12,-1,20,20401177,20489401,20541197,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401177_Tr_block_grouping_block_grouping_orig_vh_c.1_s1963100312_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489193_Ev_block_grouping_block_grouping_orig_vh_c.1_s1963100312_SR10TCP_src20401177_e0054.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489401_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCT_src20401177_e0054.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541197_Ev_block_grouping_block_grouping_orig_vh_c.1_s1963100312_SR10TCP_src20489401_e0000.txt
MAIN-TERM,block_grouping,on,1972442430,final,55,17,0,10,-7,20,20401186,20489402,20541218,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401186_Tr_block_grouping_block_grouping_orig_vh_c.1_s1972442430_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424782_Ev_block_grouping_block_grouping_orig_vh_c.1_s1972442430_SR10P_src20401186_e0055.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489402_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCT_src20401186_e0055.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541218_Ev_block_grouping_block_grouping_orig_vh_c.1_s1972442430_SR10TCP_src20489402_e0000.txt
MAIN-TERM,block_grouping,on,2011206605,final,76,16,0,9,-7,20,20401178,20489403,20541344,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401178_Tr_block_grouping_block_grouping_orig_vh_c.1_s2011206605_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489194_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10TCP_src20401178_e0076.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489403_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCT_src20401178_e0076.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541344_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10TCP_src20489403_e0000.txt
MAIN-TERM,block_grouping,on,2082152039,final,61,15,0,10,-5,20,20401183,20489404,20541366,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401183_Tr_block_grouping_block_grouping_orig_vh_c.1_s2082152039_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489195_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10TCP_src20401183_e0061.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489404_Re-Tr_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10TCT_src20401183_e0061.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541366_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10TCP_src20489404_e0000.txt
