job_id,job_name,domain,value_head,seed,tag,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,exit_code,elapsed,successes,total,val_valid,val_invalid,classified_instances,successful_instance_runtime_seconds,source_evaluation_log,source_training_log
20891029,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430361_e0002,block_grouping,off,2082152039,SR10M,20430361,2,main_val_stage2_selected_mcts,FAILED,1:0,00:01:33,0,0,,,0,,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891029_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430361_e0002.txt,
20943871,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430361_e0002,block_grouping,off,2082152039,SR10M,20430361,2,main_val_stage2_selected_mcts,RUNNING,0:0,01:15:00,11,12,,,12,28.08;34.88;1256.12;59.85;1748.05;18.79;21.29;68.88;631.13;88.19;150.31,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943871_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430361_e0002.txt,
20891031,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430346_e0019,block_grouping,on,1073581256,SR10M,20430346,19,main_val_stage2_selected_mcts,FAILED,1:0,00:01:35,0,0,,,0,,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891031_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430346_e0019.txt,
20943873,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430346_e0019,block_grouping,on,1073581256,SR10M,20430346,19,main_val_stage2_selected_mcts,FAILED,1:0,00:01:27,0,0,,,0,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943873_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430346_e0019.txt,
20944335,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430346_e0019,block_grouping,on,1073581256,SR10M,20430346,19,main_val_stage2_selected_mcts,RUNNING,0:0,00:24:00,10,11,,,11,18.80;27.32;443.84;35.31;339.63;15.03;17.78;61.10;55.60;135.24,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20944335_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430346_e0019.txt,
20891032,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430348_e0069,block_grouping,on,1472491096,SR10M,20430348,69,main_val_stage2_selected_mcts,FAILED,1:0,00:02:01,0,0,,,0,,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430348_e0069.txt,
20943875,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430348_e0069,block_grouping,on,1472491096,SR10M,20430348,69,main_val_stage2_selected_mcts,RUNNING,0:0,01:09:01,13,14,,,14,18.55;25.33;489.48;54.35;468.37;14.28;15.78;88.66;57.10;1297.14;165.33;2449.15;297.83,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943875_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430348_e0069.txt,
20891018,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489404_e0062,block_grouping,on,2082152039,SR10M,20489404,62,main_val_stage2_selected_mcts,COMPLETED,0:0,12:23:13,11,20,11,0,18,28.32;33.34;62.11;18.04;20.04;86.67;105.44;202.61;12811.59;9779.57;13877.94,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891018_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489404_e0062.txt,
20891033,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009,fo_counters,off,923500475,SR10M,20430395,9,main_val_stage2_selected_mcts,FAILED,1:0,00:01:33,0,0,,,0,,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891033_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009.txt,
20943878,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009,fo_counters,off,923500475,SR10M,20430395,9,main_val_stage2_selected_mcts,FAILED,1:0,00:01:51,0,0,,,0,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943878_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009.txt,
