job_id,job_name,domain,value_head,seed,tag,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,exit_code,elapsed,successes,total,val_valid,val_invalid,classified_instances,successful_instance_runtime_seconds,source_evaluation_log,source_training_log
20559507,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489395_e0010,block_grouping,on,534933607,SR10TCM,20489395,10,main_term_stage2_selected_mcts,COMPLETED,0:0,11:35:41,12,20,12,0,18,16.06;18.82;512.47;34.31;340.64;13.52;15.28;45.85;72.38;104.72;143.52;4000.94,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559507_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489395_e0010.txt,
20559508,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCM_src20489396_e0002,block_grouping,on,923500475,SR10TCM,20489396,2,main_term_stage2_selected_mcts,COMPLETED,0:0,13:31:31,9,20,9,0,16,17.54;20.79;49.59;12.52;16.54;69.62;85.43;160.04;11864.91,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559508_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCM_src20489396_e0002.txt,
20559509,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489397_e0006,block_grouping,on,1073581256,SR10TCM,20489397,6,main_term_stage2_selected_mcts,COMPLETED,0:0,10:06:59,12,20,12,0,18,17.29;21.30;448.57;38.31;350.39;13.52;15.03;51.36;76.89;118.20;163.81;4362.65,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559509_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489397_e0006.txt,
20559510,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10TCM_src20489398_e0013,block_grouping,on,1239739722,SR10TCM,20489398,13,main_term_stage2_selected_mcts,COMPLETED,0:0,11:54:26,11,20,11,0,18,19.31;24.85;46.87;14.03;13.78;67.63;77.14;144.59;10477.30;11143.12;16218.07,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559510_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10TCM_src20489398_e0013.txt,
20559511,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489399_e0016,block_grouping,on,1472491096,SR10TCM,20489399,16,main_term_stage2_selected_mcts,FAILED,1:0,02:15:17,11,15,,,15,16.80;20.06;480.64;32.30;284.52;11.27;13.02;43.83;70.62;104.42;161.83,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559511_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489399_e0016.txt,
20559512,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489400_e0002,block_grouping,on,1510771779,SR10TCM,20489400,2,main_term_stage2_selected_mcts,FAILED,1:0,02:20:36,12,14,,,14,23.05;27.07;1210.46;61.62;1559.65;15.53;16.03;82.40;107.48;573.00;199.92;3675.18,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559512_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489400_e0002.txt,
20559513,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489401_e0005,block_grouping,on,1963100312,SR10TCM,20489401,5,main_term_stage2_selected_mcts,FAILED,1:0,02:22:23,8,11,,,11,23.81;29.08;73.91;19.80;22.81;91.21;121.27;213.23,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559513_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489401_e0005.txt,
20559514,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489402_e0054,block_grouping,on,1972442430,SR10TCM,20489402,54,main_term_stage2_selected_mcts,FAILED,1:0,02:05:21,8,12,,,12,15.53;16.04;43.07;11.28;13.53;56.60;70.11;125.71,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559514_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489402_e0054.txt,
20559515,Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCM_src20489403_e0006,block_grouping,on,2011206605,SR10TCM,20489403,6,main_term_stage2_selected_mcts,COMPLETED,0:0,11:57:21,11,20,11,0,18,15.05;19.06;41.32;10.27;16.03;54.85;72.62;136.96;8743.70;12502.63;16754.06,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559515_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCM_src20489403_e0006.txt,
20559540,Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489426_e0038,drone,off,534933607,SR10TCM,20489426,38,main_term_stage2_selected_mcts,COMPLETED,0:0,07:28:48,10,20,10,0,18,50.93;51.43;52.90;88.68;455.69;759.71;721.79;94.43;375.53;561.51,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559540_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489426_e0038.txt,
