experiment_id,domain,value_head,seed,search,policy_score,mcts_30m,mcts_2h,mcts_6h,mcts_job_id,source_policy_log,source_mcts_log,source_completion_ledger
MAIN-VAL,block_grouping,on,1073581256,width5_sim20,14.0,12,15,15,20430032,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430032.eval_completed.jsonl
MAIN-VAL,block_grouping,on,1239739722,width5_sim20,13.0,11,12,14,20430033,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424548_Ev_block_grouping_block_grouping_orig_vh_c.1_s1239739722_SR10P_src20401180_e0023.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430033_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401180_e0023.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430033.eval_completed.jsonl
MAIN-VAL,block_grouping,on,1472491096,width5_sim20,17.0,14,14,17,20430034,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424559_Ev_block_grouping_block_grouping_orig_vh_c.1_s1472491096_SR10P_src20401181_e0002.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430034_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401181_e0002.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430034.eval_completed.jsonl
MAIN-VAL,block_grouping,on,534933607,width5_sim20,17.0,12,15,16,20430035,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424573_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0019.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430035_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401182_e0019.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430035.eval_completed.jsonl
MAIN-VAL,block_grouping,on,2082152039,width5_sim20,15.0,12,14,16,20430036,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424586_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430036_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401183_e0011.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430036.eval_completed.jsonl
MAIN-VAL,block_grouping,on,1510771779,width5_sim20,17.0,12,15,16,20430037,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424722_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0088.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430037_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401184_e0088.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430037.eval_completed.jsonl
MAIN-VAL,block_grouping,on,923500475,width5_sim20,17.0,12,14,18,20430038,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424731_Ev_block_grouping_block_grouping_orig_vh_c.1_s923500475_SR10P_src20401185_e0020.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430038_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401185_e0020.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430038.eval_completed.jsonl
MAIN-VAL,block_grouping,on,1972442430,width5_sim20,15.0,12,14,16,20430039,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424758_Ev_block_grouping_block_grouping_orig_vh_c.1_s1972442430_SR10P_src20401186_e0005.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430039_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401186_e0005.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430039.eval_completed.jsonl
MAIN-VAL,drone,off,1963100312,width20_sim70,11.0,10,10,10,20451722,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450747_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10P_src20401207_e0157.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451722_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401207_e0157.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451722.eval_completed.jsonl
MAIN-VAL,drone,off,2011206605,width20_sim70,5.0,7,7,7,20430057,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425786_Ev_drone_drone_orig_novh_c.1_s2011206605_SR10P_src20401208_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430057_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401208_e0040.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430057.eval_completed.jsonl
