job_id,role,seed,epochs_recorded,latest_stage2_epoch,validation_first,validation_latest,validation_min,validation_max,max_post_update_kl,coefficient_values,controller_adjustments,target_kl,source_log
21144388,catastrophic_outlier,1972442430,100,99,29/30,21/30,18,30,0.079579,3.0,0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144388_anchor-kl-tpp-off-bad-adaptive-retry1.txt
21144389,stable_control,1963100312,100,99,30/30,30/30,30,30,0.022100,3.0,0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
