job_id,job_name,state,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,ordinary_unsolved,logged_timeouts,latest_eval_final_success,latest_eval_final_total,val_valid,val_invalid,log_path,completion_record_path
20945823,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430414_e0003,RUNNING,23:43:54,2026-09-04T13:32:22,Unknown,ise-cpu256-17,6,120G,6,6,6,6,6,0,9,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945823_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430414_e0003.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945823.eval_completed.jsonl
20944004,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20430403_e0000,RUNNING,1-01:42:15,2026-09-04T11:34:01,Unknown,ise-cpu-intl-06,6,120G,4,4,4,4,4,0,12,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20944004_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20430403_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20944004.eval_completed.jsonl
20944001,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20430397_e0001,RUNNING,1-01:45:39,2026-09-04T11:30:37,Unknown,ise-cpu128-06,6,120G,7,5,5,5,5,2,12,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20944001_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20430397_e0001.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20944001.eval_completed.jsonl
20943999,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430401_e0000,RUNNING,1-01:53:45,2026-09-04T11:22:31,Unknown,cs-cpu-11,6,120G,7,6,6,6,6,1,12,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943999_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430401_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20943999.eval_completed.jsonl
20974542,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045,RUNNING,00:06:08,2026-09-05T13:10:08,Unknown,ise-cpu128-05,6,120G,24,24,24,24,24,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974542_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974542.eval_completed.jsonl
20974543,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20489413_e0003,RUNNING,00:06:08,2026-09-05T13:10:08,Unknown,ise-cpu128-06,6,120G,24,24,24,24,24,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974543_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20489413_e0003.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974543.eval_completed.jsonl
20974544,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20489414_e0082,RUNNING,00:06:08,2026-09-05T13:10:08,Unknown,ise-cpu128-10,6,120G,24,24,24,24,24,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974544_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20489414_e0082.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974544.eval_completed.jsonl
20974545,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20489415_e0006,RUNNING,00:06:08,2026-09-05T13:10:08,Unknown,ise-cpu128-11,6,120G,19,19,19,19,19,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974545_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20489415_e0006.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974545.eval_completed.jsonl
20974546,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030,RUNNING,00:06:08,2026-09-05T13:10:08,Unknown,ise-cpu128-11,6,120G,6,6,6,6,6,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974546_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974546.eval_completed.jsonl
20974537,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20489406_e0024,RUNNING,00:06:13,2026-09-05T13:10:03,Unknown,ise-cpu-intl-22,6,120G,20,20,20,20,20,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974537_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20489406_e0024.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974537.eval_completed.jsonl
