role,seed,job_id,constant_job_id,stage2_epoch,cumulative_epoch,validation_successes,validation_total,policy_anchor_kl_loss,policy_anchor_kl_post_update,policy_anchor_kl_coeff_before,policy_anchor_kl_coeff_after,policy_anchor_kl_controller_adjustments,policy_anchor_kl_target,path
stable_control,1963100312,21144389,20553944,14,17,30.0,30.0,0.04842654423167308,0.0159491085447371,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,15,18,30.0,30.0,0.04837428151319424,0.01609118445776403,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,16,19,30.0,30.0,0.04792842504878839,0.015529376252864798,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,17,20,30.0,30.0,0.04611600805073977,0.015495662391185761,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,18,21,30.0,30.0,0.046742973290383814,0.016253395766640703,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,19,22,30.0,30.0,0.04714531737069289,0.016549737239256502,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,20,23,30.0,30.0,0.04600586723536253,0.016056017794956762,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,21,24,30.0,30.0,0.04551422291745742,0.0160244124631087,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,22,25,30.0,30.0,0.04500306341797113,0.015471957515304287,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,23,26,30.0,30.0,0.04462573459992806,0.0159739569760859,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,24,27,30.0,30.0,0.04499434648702542,0.01633817426239451,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,25,28,30.0,30.0,0.04367950397233168,0.016453449598823985,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,26,29,30.0,30.0,0.04386559929698706,0.01565945721231401,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,27,30,30.0,30.0,0.04367190220703681,0.01618471131660044,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,28,31,30.0,30.0,0.04439066120733817,0.016571431358655294,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,29,32,30.0,30.0,0.0440551212678353,0.016309555154293776,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,30,33,30.0,30.0,0.04291455801576376,0.016208975203335287,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,31,34,30.0,30.0,0.04223733196655909,0.016079047337795298,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,32,35,30.0,30.0,0.04308382123708725,0.01719632015253107,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
