experiment_id,field,reference,state
MCTS-PW70-TEN-SEED,manifest_path,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv,exists_local
MCTS-RESOURCE,results_file,,not_declared
MCTS-RESOURCE,manifest_path,,not_declared
MCTS-SAFE,results_file,experiment_tracking/mcts_safe_drone/targeted_results_20260828.csv,exists_local
MCTS-SAFE,manifest_path,experiment_tracking/mcts_safe_drone/manifest.csv,exists_local
MCTS-SAFE-CONTEXT,results_file,experiment_tracking/mcts_safe_context/live_reconciliation_20260831.csv,exists_local
MCTS-SAFE-CONTEXT,manifest_path,experiment_tracking/mcts_safe_context/full_manifest.csv,exists_local
MCTS-SAFE2,results_file,,not_declared
MCTS-SAFE2,manifest_path,,not_declared
MCTS-STAGE2-BRANCH-COMPLETION,results_file,experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260907.csv,exists_local
MCTS-STAGE2-BRANCH-COMPLETION,manifest_path,experiment_tracking/stage2_mcts_branch_completion_approved_20260903.csv,exists_local
MCTS-STAGE2-BRANCH-COMPLETION,manifest_path,experiment_tracking/stage2_mcts_rover_completion_approved_20260904.csv,exists_local
MCTS-STAGE2-BRANCH-COMPLETION,manifest_path,experiment_tracking/stage2_mcts_counters_terminal_completion_ready_20260904.csv,exists_local
MCTS-STAGE2-BRANCH-COMPLETION,manifest_path,experiment_tracking/stage2_mcts_counters_terminal_node_retry_20260905.csv,exists_local
MCTS-WIDTH,results_file,experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_summary_10seed.csv,exists_local
MCTS-WIDTH,manifest_path,,not_declared
MPRIME-ANCHOR-PBA,results_file,experiment_tracking/mprime_anchor_phase_b_a_20260912/README.md,exists_local
MPRIME-ANCHOR-PBA,manifest_path,experiment_tracking/mprime_anchor_phase_b_a_20260912/manifest.csv,exists_local
MPRIME-PBA-S1-MCTS,results_file,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/README.md,exists_local
MPRIME-PBA-S1-MCTS,manifest_path,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,exists_local
MPRIME-PBA-S1-MCTS,manifest_path,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_on.csv,exists_local
MPRIME-PBA-S1-PW-SCREEN,results_file,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/results_20260914.csv,exists_local
MPRIME-PBA-S1-PW-SCREEN,results_file,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/confirmation_submissions.tsv,exists_local
MPRIME-PBA-S1-PW-SCREEN,manifest_path,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/manifest.csv,exists_local
MPRIME-PBA-S1-PW-SCREEN,manifest_path,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/manifest_confirmation_remaining.csv,exists_local
MPRIME-VAL,results_file,experiment_tracking/mprime_validation_ipc_scale_v1/validation_test_checkpoint_audit.csv,exists_local
MPRIME-VAL,manifest_path,experiment_tracking/mprime_validation_ipc_scale_v1/stage1_corrected_validation_manifest.csv,exists_local
MPRIME-VAL-ADEQUACY,results_file,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_cell_summary_latest.csv,exists_local
MPRIME-VAL-ADEQUACY,manifest_path,experiment_tracking/mprime_validation_phase_b_20260906/checkpoints.csv,exists_local
MPRIME-VAL-ADEQUACY,manifest_path,experiment_tracking/mprime_validation_phase_b_20260906/protocol.json,exists_local
MPRIME-VAL-ADEQUACY,manifest_path,problems/numeric/mprime/validation_ipc_scale_v1/manifest.csv,exists_local
MPRIME-VAL-ADEQUACY-C,results_file,experiment_tracking/mprime_validation_phase_c_20260911/validator_decision_latest.csv,exists_local
MPRIME-VAL-ADEQUACY-C,manifest_path,experiment_tracking/mprime_validation_phase_c_20260911/checkpoint_candidates.csv,exists_local
PRESERVE-3-TERM,results_file,experiment_tracking/preserve3_terminal_led/terminal_led_selected_summary_20260903.csv,exists_local
PRESERVE-3-TERM,manifest_path,experiment_tracking/four_domain_preservation/terminal_stage2_submissions.tsv,exists_local
PRESERVE-3-VAL,results_file,experiment_tracking/four_domain_preservation/stable_domain_stage2_summary_20260902.csv,exists_local
PRESERVE-3-VAL,manifest_path,experiment_tracking/four_domain_preservation/stable_domain_stage2_seed_pairs_20260902.csv,exists_local
PUCT-EST,results_file,,not_declared
PUCT-EST,manifest_path,,not_declared
ROVER-MCTS-INTERRUP-REC,results_file,experiment_tracking/dynamic_experiment_jobs_latest.csv,exists_local
ROVER-MCTS-INTERRUP-REC,manifest_path,experiment_tracking/rover_interrupted_mcts_recovery_manifest_20260908.csv,exists_local
STOP-ORIG,results_file,,not_declared
STOP-ORIG,manifest_path,,not_declared
TPP-CATASTROPHIC-MCTS,results_file,experiment_tracking/dynamic_experiment_jobs_latest.csv,exists_local
TPP-CATASTROPHIC-MCTS,manifest_path,experiment_tracking/tpp_catastrophic_mcts/manifest_20260907.csv,exists_local
TPP-FIRST-UPDATE-A,results_file,experiment_tracking/tpp_first_update_phase_a_20260914/README.md,exists_local
TPP-FIRST-UPDATE-A,manifest_path,experiment_tracking/tpp_first_update_phase_a_20260914/manifest.csv,exists_local
TPP-FIRST-UPDATE-A,manifest_path,experiment_tracking/tpp_first_update_phase_a_20260914/submissions.tsv,exists_local
TPP-FIRST-UPDATE-A,manifest_path,experiment_tracking/tpp_first_update_phase_a_20260914/phase_a_interim_results_20260914.csv,exists_local
TPP-FIRST-UPDATE-B,results_file,experiment_tracking/tpp_first_update_phase_b_crossover_20260914/README.md,exists_local
TPP-FIRST-UPDATE-B,manifest_path,experiment_tracking/tpp_first_update_phase_b_crossover_20260914/manifest.csv,exists_local
YARIN-EXTERNAL-GENERATORS,results_file,experiment_tracking/advisor_followup_20260910/yarin_external_results_latest.csv,exists_local
YARIN-EXTERNAL-GENERATORS,manifest_path,experiment_tracking/advisor_followup_20260910/yarin_external_screen_manifest.csv,exists_local
