snapshot_time_idt,method,vh_mode,classified,total,success_30m,success_2h,success_6h,mean_lower_bound_30m,mean_lower_bound_2h,mean_lower_bound_6h,array_job,running_tasks,complete_tasks,requested_cpu,requested_mem_gib
2026-09-17T16:32:00+03:00,fixed,off,90,200,77,85,90,7.7,8.5,9.0,21429177,38,2,228,4560
2026-09-17T16:32:00+03:00,fixed,on,75,200,67,71,75,6.7,7.1,7.5,21429177,38,2,228,4560
2026-09-17T16:32:00+03:00,pw70,off,148,200,130,146,148,13.0,14.6,14.8,21429177,38,2,228,4560
2026-09-17T16:32:00+03:00,pw70,on,124,200,109,122,124,10.9,12.2,12.4,21429177,38,2,228,4560
