experiment_id,comparison,domain,value_head,seed,before_score,after_score,difference,before_training_job,before_evaluation_job,before_log,after_training_job,after_evaluation_job,after_log
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,534933607,15,14,-1,20618721,20668474,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668474_Ev_mprime_mprime_orig_novh_c.1_s534933607_MPCP_src20618721_e0010.txt,21303717,21344358,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344358_Ev_mprime_mprime_mcts_orig_novh_c.1_s534933607_K0_MPFINALV_S2POL_src21303717_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,923500475,17,16,-1,20618724,20668523,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668523_Ev_mprime_mprime_orig_novh_c.1_s923500475_MPCP_src20618724_e0020.txt,21303718,21344372,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344372_Ev_mprime_mprime_mcts_orig_novh_c.1_s923500475_K0_MPFINALV_S2POL_src21303718_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,1073581256,18,13,-5,20618718,20668436,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668436_Ev_mprime_mprime_orig_novh_c.1_s1073581256_MPCP_src20618718_e0075.txt,21303719,21346320,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21346320_Ev_mprime_mprime_mcts_orig_novh_c.1_s1073581256_K0_MPFINALV_S2POL_src21303719_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,1239739722,18,18,0,20618719,20668441,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668441_Ev_mprime_mprime_orig_novh_c.1_s1239739722_MPCP_src20618719_e0007.txt,21303720,21349571,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21349571_Ev_mprime_mprime_mcts_orig_novh_c.1_s1239739722_K0_MPFINALV_S2POL_src21303720_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,1472491096,14,18,4,20618720,20668461,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668461_Ev_mprime_mprime_orig_novh_c.1_s1472491096_MPCP_src20618720_e0041.txt,21303721,21350897,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21350897_Ev_mprime_mprime_mcts_orig_novh_c.1_s1472491096_K0_MPFINALV_S2POL_src21303721_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,1510771779,15,16,1,20618723,20668503,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668503_Ev_mprime_mprime_orig_novh_c.1_s1510771779_MPCP_src20618723_e0010.txt,21303722,21353330,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21353330_Ev_mprime_mprime_mcts_orig_novh_c.1_s1510771779_K0_MPFINALV_S2POL_src21303722_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,1963100312,20,16,-4,20618716,20668390,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668390_Ev_mprime_mprime_orig_novh_c.1_s1963100312_MPCP_src20618716_e0005.txt,21303723,21356491,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21356491_Ev_mprime_mprime_mcts_orig_novh_c.1_s1963100312_K0_MPFINALV_S2POL_src21303723_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,1972442430,18,17,-1,20618725,20668536,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668536_Ev_mprime_mprime_orig_novh_c.1_s1972442430_MPCP_src20618725_e0005.txt,21303724,21357571,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21357571_Ev_mprime_mprime_mcts_orig_novh_c.1_s1972442430_K0_MPFINALV_S2POL_src21303724_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,2011206605,13,16,3,20618717,20668406,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668406_Ev_mprime_mprime_orig_novh_c.1_s2011206605_MPCP_src20618717_e0005.txt,21303725,21358925,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21358925_Ev_mprime_mprime_mcts_orig_novh_c.1_s2011206605_K0_MPFINALV_S2POL_src21303725_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,mprime,off,2082152039,15,15,0,20618722,20668489,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668489_Ev_mprime_mprime_orig_novh_c.1_s2082152039_MPCP_src20618722_e0010.txt,21303726,21359847,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21359847_Ev_mprime_mprime_mcts_orig_novh_c.1_s2082152039_K0_MPFINALV_S2POL_src21303726_e0000.txt
