rq,stage,value_head,domain,cutoff,n,capacity,baseline_mean,observed_comparison_mean,observed_raw_p,observed_holm_p,available_non_ceiling_pairs,required_positive_pairs,minimum_total_additional_solves,minimum_mean_gain,minimum_target_mean,counterfactual_raw_p,counterfactual_holm_p,attainable_with_current_pairs,assumption
RQ1,stage2,off,Block Grouping,endpoint,10,20,16.3,16.0,0.625,1.0,10,8,8,0.8,17.1,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ1,stage2,off,Drone,endpoint,10,20,5.9,6.7,0.50390625,1.0,10,8,8,0.8,6.7,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ1,stage2,off,FO Counters,endpoint,10,20,4.2,2.9,0.046875,0.28125,10,8,8,0.8,5.0,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ1,stage2,off,Rover,endpoint,10,20,4.0,4.0,1.0,1.0,10,8,8,0.8,4.8,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ1,stage2,off,Counters,endpoint,10,59,32.5,36.9,0.66015625,1.0,7,,,,,,,no,one additional solve in each of k distinct seed pairs; no regressions
RQ1,stage2,off,MPrime,endpoint,10,20,16.3,16.5,0.9296875,1.0,9,8,8,0.8,17.1,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ3,stage2,on,Block Grouping,endpoint,10,20,15.9,12.8,0.015625,0.09375,10,8,8,0.8,16.7,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ3,stage2,on,Drone,endpoint,10,20,5.1,5.0,1.0,1.0,10,8,8,0.8,5.8999999999999995,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ3,stage2,on,FO Counters,endpoint,10,20,3.7,3.1,0.25,1.0,10,8,8,0.8,4.5,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ3,stage2,on,Rover,endpoint,10,20,3.8,3.9,1.0,1.0,10,8,8,0.8,4.6,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ3,stage2,on,Counters,endpoint,10,59,18.6,21.8,0.5625,1.0,8,8,8,0.8,19.400000000000002,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ3,stage2,on,MPrime,endpoint,10,20,15.7,16.7,0.25390625,1.0,10,8,8,0.8,16.5,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Block Grouping,30m,10,20,16.3,11.6,0.001953125,0.01171875,10,8,8,0.8,17.1,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Block Grouping,2h,10,20,16.3,14.8,0.03515625,0.15625,10,8,8,0.8,17.1,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Block Grouping,6h,10,20,16.3,15.4,0.109375,0.328125,10,8,8,0.8,17.1,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Drone,30m,10,20,5.9,6.9,0.07421875,0.1875,10,7,7,0.7,6.6000000000000005,0.015625,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Drone,2h,10,20,5.9,6.9,0.07421875,0.22265625,10,8,8,0.8,6.7,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Drone,6h,10,20,5.9,6.9,0.07421875,0.296875,10,8,8,0.8,6.7,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,FO Counters,30m,10,20,4.2,7.5,0.00390625,0.01953125,10,8,8,0.8,5.0,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,FO Counters,2h,10,20,4.2,7.8,0.00390625,0.0234375,10,8,8,0.8,5.0,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,FO Counters,6h,10,20,4.2,7.8,0.00390625,0.0234375,10,8,8,0.8,5.0,0.0078125,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Rover,30m,10,20,4.0,4.8,0.0625,0.1875,10,7,7,0.7,4.7,0.015625,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Rover,2h,10,20,4.0,5.0,0.03125,0.15625,10,8,8,0.8,4.8,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Rover,6h,10,20,4.0,5.0,0.03125,0.15625,10,8,8,0.8,4.8,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Counters,30m,10,59,32.5,24.9,0.203125,0.203125,7,7,7,0.7,33.2,0.015625,0.046875,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Counters,2h,10,59,32.5,25.6,0.25,0.25,7,,,,,,,no,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,Counters,6h,10,59,32.5,25.7,0.25,0.5,7,,,,,,,no,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,MPrime,30m,10,20,16.3,13.0,0.009765625,0.0390625,9,8,8,0.8,17.1,0.0078125,0.03125,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,MPrime,2h,10,20,16.3,14.7,0.11328125,0.2265625,9,8,8,0.8,17.1,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage1,off,MPrime,6h,10,20,16.3,15.7,0.4453125,0.5,9,8,8,0.8,17.1,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage2,off,Block Grouping,30m,10,20,16.0,11.4,0.001953125,0.01171875,10,8,8,0.8,16.8,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage2,off,Block Grouping,2h,10,20,16.0,15.0,0.09375,0.46875,10,8,8,0.8,16.8,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
RQ2,stage2,off,Block Grouping,6h,10,20,16.0,15.7,0.5,1.0,10,8,8,0.8,16.8,0.0078125,0.0390625,yes,one additional solve in each of k distinct seed pairs; no regressions
