manifest_id,domain,value_head,seed,anchor,original_job_id,final_job_id,original_state,final_state,validation_points,validation_auc,peak_validation,final_validation,original_log,final_log
cd4-anchor-tpp-on-1963100312-a0-stage2-train,tpp,on,1963100312,0,20553926,20553926,COMPLETED,COMPLETED,100,0.248333333,1.000000000,0.100000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553926_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a0.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553926_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a0.txt
cd4-anchor-tpp-on-1963100312-a0p03-stage2-train,tpp,on,1963100312,0.03,20553927,20595761,FAILED,COMPLETED,26,0.287179487,0.900000000,0.100000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553927_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a0p03.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595761_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553927_ce0090_a0p03.txt
cd4-anchor-tpp-on-1963100312-a0p3-stage2-train,tpp,on,1963100312,0.3,20553928,20553928,COMPLETED,COMPLETED,100,0.220333333,1.000000000,0.100000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553928_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a0p3.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553928_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a0p3.txt
cd4-anchor-tpp-on-1963100312-a1-stage2-train,tpp,on,1963100312,1,20553929,20553929,COMPLETED,COMPLETED,100,0.806666667,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553929_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553929_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a1.txt
cd4-anchor-tpp-on-1963100312-a10-stage2-train,tpp,on,1963100312,10,20553931,20553931,COMPLETED,COMPLETED,100,0.982666667,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553931_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a10.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553931_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a10.txt
cd4-anchor-tpp-on-1963100312-a3-stage2-train,tpp,on,1963100312,3,20553930,20553930,COMPLETED,COMPLETED,100,0.501666667,1.000000000,0.800000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553930_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a3.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553930_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a3.txt
cd4-anchor-tpp-on-1963100312-a30-stage2-train,tpp,on,1963100312,30,20553932,20553932,COMPLETED,COMPLETED,100,0.728666667,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553932_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a30.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553932_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_CD4AT_src20523005_e0012_a30.txt
cd4-anchor-tpp-on-2011206605-a0-stage2-train,tpp,on,2011206605,0,20553933,20553933,COMPLETED,COMPLETED,100,0.453333333,1.000000000,0.333333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553933_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a0.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553933_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a0.txt
cd4-anchor-tpp-on-2011206605-a0p03-stage2-train,tpp,on,2011206605,0.03,20553934,20553934,COMPLETED,COMPLETED,100,0.399666667,1.000000000,0.333333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553934_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a0p03.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553934_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a0p03.txt
cd4-anchor-tpp-on-2011206605-a0p3-stage2-train,tpp,on,2011206605,0.3,20553935,20553935,COMPLETED,COMPLETED,100,0.819000000,1.000000000,0.933333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553935_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a0p3.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553935_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a0p3.txt
cd4-anchor-tpp-on-2011206605-a1-stage2-train,tpp,on,2011206605,1,20553936,20553936,COMPLETED,COMPLETED,100,0.734333333,1.000000000,0.833333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553936_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553936_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a1.txt
cd4-anchor-tpp-on-2011206605-a10-stage2-train,tpp,on,2011206605,10,20553938,20553938,COMPLETED,COMPLETED,100,1.000000000,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553938_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a10.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553938_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a10.txt
cd4-anchor-tpp-on-2011206605-a3-stage2-train,tpp,on,2011206605,3,20553937,20595762,FAILED,COMPLETED,77,0.997835498,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553937_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a3.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595762_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4ATQCONT_src20553937_ce0035_a3.txt
cd4-anchor-tpp-on-2011206605-a30-stage2-train,tpp,on,2011206605,30,20553939,20595763,FAILED,COMPLETED,42,0.999206349,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553939_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4AT_src20523008_e0001_a30.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595763_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s2011206605_K0_CD4ATQCONT_src20553939_ce0072_a30.txt
