manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log,excluded_nodes,notes
preserve3-term-tpp-on-1239739722-a10-policy-e0095-node-retry1,policy_eval,tpp,on,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:46:57.197704/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921381-7d9a779/snapshots/snapshot_95_1.0000",20755756,95,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755756_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A10_src20523013.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943843; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1239739722-a10-policy-e0096-node-retry1,policy_eval,tpp,on,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:46:57.197704/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921381-7d9a779/snapshots/snapshot_96_1.0000",20755756,96,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755756_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A10_src20523013.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943844; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1239739722-a10-policy-e0099-node-retry1,policy_eval,tpp,on,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:46:57.197704/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921381-7d9a779/snapshots/snapshot_99_1.0000",20755756,99,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_final_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755756_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A10_src20523013.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943845; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1472491096-a10-policy-e0000-node-retry1,policy_eval,tpp,on,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:49:21.101938/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921383-43e0a7a/snapshots/snapshot_0_1.0000",20755757,0,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755757_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943846; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1472491096-a10-policy-e0002-node-retry1,policy_eval,tpp,on,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:49:21.101938/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921383-43e0a7a/snapshots/snapshot_2_0.6667",20755757,2,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755757_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943847; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1472491096-a10-policy-e0005-node-retry1,policy_eval,tpp,on,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:49:21.101938/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921383-43e0a7a/snapshots/snapshot_5_0.5000",20755757,5,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755757_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943848; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1472491096-a10-policy-e0010-node-retry1,policy_eval,tpp,on,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:49:21.101938/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921383-43e0a7a/snapshots/snapshot_10_0.5000",20755757,10,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755757_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943849; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1472491096-a10-policy-e0090-node-retry1,policy_eval,tpp,on,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:49:21.101938/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921383-43e0a7a/snapshots/snapshot_90_0.5000",20755757,90,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755757_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943865; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1472491096-a10-policy-e0095-node-retry1,policy_eval,tpp,on,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:49:21.101938/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921383-43e0a7a/snapshots/snapshot_95_0.5000",20755757,95,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755757_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943866; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
preserve3-term-tpp-on-1472491096-a10-policy-e0099-node-retry1,policy_eval,tpp,on,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T19:49:21.101938/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921383-43e0a7a/snapshots/snapshot_99_0.5000",20755757,99,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_final_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755757_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017.txt,"ise-cpu128-03,ise-cpu128-04,ise-cpu-intl-13",Exact policy retry of job 20943867; failed before inference on ise-cpu128-03 or ise-cpu128-04 with node-local POSIX-semaphore ENOSPC. Exclusion is limited to three independently demonstrated bad nodes.
