manifest_id,domain,value_head,seed,anchor,original_job_id,final_job_id,original_state,final_state,validation_points,validation_auc,peak_validation,final_validation,original_log,final_log
cd4-anchor-delivery-off-1963100312-a0-stage2-train,delivery,off,1963100312,0,20553884,20553884,COMPLETED,COMPLETED,100,0.222666667,1.000000000,0.166666667,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553884_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a0.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553884_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a0.txt
cd4-anchor-delivery-off-1963100312-a0p03-stage2-train,delivery,off,1963100312,0.03,20553885,20553885,COMPLETED,COMPLETED,100,0.217666667,1.000000000,0.133333333,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553885_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a0p03.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553885_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a0p03.txt
cd4-anchor-delivery-off-1963100312-a0p3-stage2-train,delivery,off,1963100312,0.3,20553886,20553886,COMPLETED,COMPLETED,100,0.225666667,0.966666667,0.166666667,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553886_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a0p3.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553886_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a0p3.txt
cd4-anchor-delivery-off-1963100312-a1-stage2-train,delivery,off,1963100312,1,20553887,20595751,FAILED,COMPLETED,100,0.403000000,0.800000000,0.166666667,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553887_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a1.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595751_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553887_ce0045_a1.txt
cd4-anchor-delivery-off-1963100312-a10-stage2-train,delivery,off,1963100312,10,20553889,20595753,FAILED,COMPLETED,50,0.984000000,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553889_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a10.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595753_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553889_ce0065_a10.txt
cd4-anchor-delivery-off-1963100312-a3-stage2-train,delivery,off,1963100312,3,20553888,20595752,FAILED,COMPLETED,62,0.832258065,0.933333333,0.800000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553888_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a3.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595752_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553888_ce0048_a3.txt
cd4-anchor-delivery-off-1963100312-a30-stage2-train,delivery,off,1963100312,30,20553890,20595754,FAILED,COMPLETED,39,0.989743590,1.000000000,1.000000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553890_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4AT_src20522923_e0018_a30.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595754_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1963100312_K0_CD4ATQCONT_src20553890_ce0074_a30.txt
cd4-anchor-delivery-off-2011206605-a0-stage2-train,delivery,off,2011206605,0,20553891,20595755,FAILED,COMPLETED,26,0.423076923,0.833333333,0.200000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553891_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20522924_e0002_a0.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_stage2_continuations/20595755_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4ATQCONT_src20553891_ce0090_a0.txt
cd4-anchor-delivery-off-2011206605-a0p03-stage2-train,delivery,off,2011206605,0.03,20553892,20553892,FAILED,FAILED,78,0.281623932,0.833333333,0.200000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553892_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20522924_e0002_a0p03.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553892_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20522924_e0002_a0p03.txt
cd4-anchor-delivery-off-2011206605-a0p3-stage2-train,delivery,off,2011206605,0.3,20553893,20553893,COMPLETED,COMPLETED,100,0.334333333,0.900000000,0.200000000,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553893_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20522924_e0002_a0p3.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_anchor_tuning_stage2_train/20553893_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s2011206605_K0_CD4AT_src20522924_e0002_a0p3.txt
