research_question,domain,epoch,n_runs,total_runs,stage1_baseline_percent,paper_baseline_percent,minimum_percent,maximum_percent,mean_percent,median_percent,best_configuration,best_configuration_mean_percent
RQ1,drone,5,22,22,30.0,45.0,20.0,30.0,22.045454545454547,20.0,beta=0.03,25.0
RQ1,drone,10,22,22,30.0,45.0,20.0,25.0,21.363636363636363,20.0,beta=0.03,22.5
RQ1,drone,15,22,22,30.0,45.0,15.0,25.0,19.318181818181817,20.0,beta=0.03,22.5
RQ1,drone,20,22,22,30.0,45.0,15.0,25.0,20.227272727272727,20.0,beta=0.03,20.0
RQ1,drone,25,22,22,30.0,45.0,15.0,25.0,19.318181818181817,20.0,beta=0.03,20.0
RQ1,drone,30,22,22,30.0,45.0,15.0,25.0,20.0,20.0,beta=0.03,20.0
RQ1,drone,35,22,22,30.0,45.0,15.0,25.0,20.227272727272727,20.0,beta=0.03,22.5
RQ1,drone,40,22,22,30.0,45.0,15.0,25.0,19.772727272727273,20.0,beta=0.03,22.5
RQ1,drone,45,22,22,30.0,45.0,15.0,25.0,20.0,20.0,beta=0.03,22.5
RQ1,drone,50,22,22,30.0,45.0,15.0,25.0,20.0,20.0,beta=0.03,20.0
RQ1,drone,55,22,22,30.0,45.0,15.0,25.0,19.772727272727273,20.0,beta=0.03,20.0
RQ1,drone,60,22,22,30.0,45.0,15.0,25.0,20.0,20.0,beta=0.03,22.5
RQ1,drone,65,22,22,30.0,45.0,15.0,25.0,20.0,20.0,beta=0.03,22.5
RQ1,drone,70,22,22,30.0,45.0,15.0,25.0,20.227272727272727,20.0,beta=0.03,20.0
RQ1,drone,75,22,22,30.0,45.0,15.0,25.0,19.09090909090909,20.0,beta=0.03,20.0
RQ1,drone,80,22,22,30.0,45.0,15.0,20.0,19.318181818181817,20.0,beta=0.03,20.0
RQ1,drone,85,22,22,30.0,45.0,15.0,25.0,19.545454545454547,20.0,beta=0.03,22.5
RQ1,drone,90,22,22,30.0,45.0,15.0,25.0,19.318181818181817,20.0,beta=0.03,22.5
RQ1,drone,95,22,22,30.0,45.0,15.0,25.0,19.545454545454547,20.0,beta=0.03,22.5
RQ1,drone,99,22,22,30.0,45.0,15.0,20.0,19.318181818181817,20.0,beta=0.03,20.0
RQ1,fo_counters,0,22,22,30.0,30.0,5.0,50.0,18.181818181818183,15.0,beta=30.0,25.0
RQ1,fo_counters,5,22,22,30.0,30.0,5.0,25.0,11.818181818181818,10.0,beta=30.0,20.0
RQ1,fo_counters,10,22,22,30.0,30.0,5.0,20.0,11.363636363636363,10.0,beta=30.0,15.0
RQ1,fo_counters,15,22,22,30.0,30.0,5.0,20.0,10.227272727272727,10.0,beta=30.0,17.5
