domain,value_head,seed,training_job_id,training_log,log_exists,policy_gradient_l2,weighted_anchor_gradient_l2,policy_anchor_gradient_cosine,decomposed_anchor_gradient_available,classification
counters,off,1472491096,20430421,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430421_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10T_src20401262_e0020.txt,true,false,false,false,false,decomposition_unavailable
counters,off,1510771779,20430424,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430424_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10T_src20401265_e0001.txt,true,false,false,false,false,decomposition_unavailable
counters,off,1963100312,20430416,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430416_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10T_src20401258_e0101.txt,true,false,false,false,false,decomposition_unavailable
counters,off,1972442430,20430426,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430426_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10T_src20401267_e0053.txt,true,false,false,false,false,decomposition_unavailable
counters,off,2011206605,20430417,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430417_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10T_src20401259_e0037.txt,true,false,false,false,false,decomposition_unavailable
counters,off,2082152039,20430423,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430423_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10T_src20401264_e0012.txt,true,false,false,false,false,decomposition_unavailable
counters,off,534933607,20430422,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430422_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10T_src20401263_e0043.txt,true,false,false,false,false,decomposition_unavailable
counters,off,923500475,20430425,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430425_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10T_src20401266_e0012.txt,true,false,false,false,false,decomposition_unavailable
counters,on,1073581256,20430429,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430429_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10T_src20401270_e0042.txt,true,false,false,false,false,decomposition_unavailable
counters,on,1239739722,20430430,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430430_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10T_src20401271_e0080.txt,true,false,false,false,false,decomposition_unavailable
counters,on,1472491096,20430431,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430431_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10T_src20401272_e0018.txt,true,false,false,false,false,decomposition_unavailable
counters,on,1510771779,20430434,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430434_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10T_src20401275_e0041.txt,true,false,false,false,false,decomposition_unavailable
