seed,selected_epoch,policy_score,tie_break,instance,instance_number,policy_steps,search_steps,first_divergence_decision,policy_action_at_divergence,search_action_at_divergence,terminal_cause,selection_mechanism,search_status,elapsed_seconds,policy_log,search_completion_log,search_text_log
534933607,43,59,policy,fz_instance_31.pddl,30,2257,10000,1,increment c9,increment c1,ordinary_10000_action_cap,search_override_consistent_with_policy_action_not_visit_max_root_trace_absent,finished_unsolved,14614.074243844952,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10_policy_534933607.txt
534933607,43,59,policy,fz_instance_32.pddl,31,2352,10000,1,increment c8,increment c1,ordinary_10000_action_cap,search_override_consistent_with_policy_action_not_visit_max_root_trace_absent,finished_unsolved,18962.31149752403,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10_policy_534933607.txt
534933607,43,59,policy,fz_instance_34.pddl,33,2545,10000,2,decrement c1,increment c10,ordinary_10000_action_cap,search_override_consistent_with_policy_action_not_visit_max_root_trace_absent,finished_unsolved,21168.73250209994,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10_policy_534933607.txt
534933607,43,59,policy,fz_instance_35.pddl,34,2643,10000,2,decrement c1,increment c10,ordinary_10000_action_cap,search_override_consistent_with_policy_action_not_visit_max_root_trace_absent,finished_unsolved,19326.424886530032,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10_policy_534933607.txt
534933607,43,59,policy,fz_instance_36.pddl,35,2742,10000,2,decrement c1,increment c10,ordinary_10000_action_cap,search_override_consistent_with_policy_action_not_visit_max_root_trace_absent,finished_unsolved,19206.25883488101,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10_policy_534933607.txt
534933607,43,59,policy,fz_instance_40.pddl,39,3148,10000,2,decrement c1,increment c10,ordinary_10000_action_cap,search_override_consistent_with_policy_action_not_visit_max_root_trace_absent,finished_unsolved,3172.7401019170647,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/policy/534933607/21233925_10_policy_534933607.txt
2082152039,12,35,action_id,fz_instance_21.pddl,20,780,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,2181.671541179996,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_22.pddl,21,833,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,6087.294678850914,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_23.pddl,22,889,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,3267.548647351912,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_24.pddl,23,950,10000,59,increment c20,increment c21,ordinary_10000_action_cap,same_first_divergence_action_both_rules_root_cause_unresolved,finished_unsolved,2850.619490187033,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
